arm,task_id,budget,metric,evaluation_seeds,complete_three_seeds,n,mean,sample_variance_ddof1,SD
baseline_reference,Al-Li-V,10,SUN,2;3;4,True,3,1.0,1.0,1.0
baseline_reference,Al-Li-V,10,AUDC,2;3;4,True,3,0.07666666666666666,0.005633333333333333,0.07505553499465135
baseline_reference,Al-Li-V,10,mSUN,2;3;4,True,3,0.10000000000000002,0.010000000000000002,0.1
baseline_reference,Al-Li-V,30,SUN,2;3;4,True,3,4.666666666666667,4.333333333333333,2.0816659994661326
baseline_reference,Al-Li-V,30,AUDC,2;3;4,True,3,0.12666666666666668,9.999999999999991e-05,0.009999999999999995
baseline_reference,Al-Li-V,30,mSUN,2;3;4,True,3,0.15555555555555556,0.004814814814814815,0.06938886664887109
baseline_reference,Al-Li-V,50,SUN,2;3;4,True,3,9.0,31.0,5.5677643628300215
baseline_reference,Al-Li-V,50,AUDC,2;3;4,True,3,0.2292,0.01811152,0.13457904740337553
baseline_reference,Al-Li-V,50,mSUN,2;3;4,True,3,0.18000000000000002,0.012399999999999998,0.11135528725660043
baseline_reference,Al-V-Zn,10,SUN,2;3;4,True,3,5.0,1.0,1.0
baseline_reference,Al-V-Zn,10,AUDC,2;3;4,True,3,0.6166666666666667,0.010433333333333331,0.10214368964029708
baseline_reference,Al-V-Zn,10,mSUN,2;3;4,True,3,0.5,0.009999999999999995,0.09999999999999998
baseline_reference,Al-V-Zn,30,SUN,2;3;4,True,3,9.333333333333334,9.333333333333332,3.055050463303893
baseline_reference,Al-V-Zn,30,AUDC,2;3;4,True,3,0.32222222222222224,0.014760493827160492,0.12149277273632574
baseline_reference,Al-V-Zn,30,mSUN,2;3;4,True,3,0.3111111111111111,0.010370370370370372,0.10183501544346311
baseline_reference,Al-V-Zn,50,SUN,2;3;4,True,3,10.333333333333334,16.333333333333332,4.041451884327381
baseline_reference,Al-V-Zn,50,AUDC,2;3;4,True,3,0.22573333333333334,0.002251573333333334,0.04745074639384858
baseline_reference,Al-V-Zn,50,mSUN,2;3;4,True,3,0.20666666666666667,0.0065333333333333354,0.08082903768654762
baseline_reference,Au-K-Tb,10,SUN,2;3;4,True,3,1.3333333333333333,5.333333333333334,2.3094010767585034
baseline_reference,Au-K-Tb,10,AUDC,2;3;4,True,3,0.08666666666666667,0.022533333333333336,0.1501110699893027
baseline_reference,Au-K-Tb,10,mSUN,2;3;4,True,3,0.13333333333333333,0.053333333333333344,0.23094010767585033
baseline_reference,Au-K-Tb,30,SUN,2;3;4,True,3,10.0,76.0,8.717797887081348
baseline_reference,Au-K-Tb,30,AUDC,2;3;4,True,3,0.2822222222222222,0.08031111111111112,0.2833921507577638
baseline_reference,Au-K-Tb,30,mSUN,2;3;4,True,3,0.3333333333333333,0.08444444444444443,0.29059326290271154
baseline_reference,Au-K-Tb,50,SUN,2;3;4,True,3,12.666666666666666,12.333333333333332,3.511884584284246
baseline_reference,Au-K-Tb,50,AUDC,2;3;4,True,3,0.22453333333333333,0.004595573333333334,0.067790658156809
baseline_reference,Au-K-Tb,50,mSUN,2;3;4,True,3,0.25333333333333335,0.004933333333333335,0.07023769168568493
baseline_reference,Co-Dy-W,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Dy-W,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Dy-W,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Dy-W,30,SUN,2;3;4,True,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
baseline_reference,Co-Dy-W,30,AUDC,2;3;4,True,3,0.0025925925925925925,2.016460905349794e-05,0.0044905020936970895
baseline_reference,Co-Dy-W,30,mSUN,2;3;4,True,3,0.011111111111111112,0.0003703703703703703,0.019245008972987525
baseline_reference,Co-Dy-W,50,SUN,2;3;4,True,3,1.0,1.0,1.0
baseline_reference,Co-Dy-W,50,AUDC,2;3;4,True,3,0.027066666666666666,0.0009258133333333332,0.03042718083118009
baseline_reference,Co-Dy-W,50,mSUN,2;3;4,True,3,0.02,0.0004,0.02
baseline_reference,Co-Mg-Na,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,50,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,50,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Mg-Na,50,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Pd-Tl,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Pd-Tl,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Pd-Tl,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Co-Pd-Tl,30,SUN,2;3;4,True,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
baseline_reference,Co-Pd-Tl,30,AUDC,2;3;4,True,3,0.009259259259259259,0.00025720164609053495,0.016037507477489603
baseline_reference,Co-Pd-Tl,30,mSUN,2;3;4,True,3,0.011111111111111112,0.0003703703703703703,0.019245008972987525
baseline_reference,Co-Pd-Tl,50,SUN,2;3,False,2,0.5,0.5,0.7071067811865476
baseline_reference,Co-Pd-Tl,50,AUDC,2;3,False,2,0.009,0.00016199999999999998,0.012727922061357855
baseline_reference,Co-Pd-Tl,50,mSUN,2;3,False,2,0.01,0.0002,0.01414213562373095
baseline_reference,Ga-Ho-Lu,10,SUN,2;3;4,True,3,4.666666666666667,0.33333333333333337,0.5773502691896258
baseline_reference,Ga-Ho-Lu,10,AUDC,2;3;4,True,3,0.43333333333333335,0.03523333333333334,0.1877054430040145
