arm,signal,origin_or_head,support,horizon,weighting,n,unique_outcomes,weight,minimum,maximum,mean_prediction,failure_fraction,Brier,AUROC,ECE10
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,1537,720,1537.0,0.49980637431144714,0.5006795525550842,0.5000611707694204,0.8405985686402082,0.24996488270784956,0.442640740506729,0.3405373978707879
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,1537,720,720.0,0.49980637431144714,0.5006795525550842,0.5000621425430414,0.8347222222222223,0.2499653725934659,0.43712803695679997,0.3346600796791808
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,719,719,719.0,0.4998539984226227,0.5006507039070129,0.5000495310453115,0.8344923504867872,0.24997429557816472,0.43771008403361344,0.3344428194414757
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,719,719,719.0,0.4998539984226227,0.5006507039070129,0.5000495310453115,0.8344923504867872,0.24997429557816472,0.43771008403361344,0.3344428194414757
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,1537,1537,1537.0,1.991012215632988e-159,4.438953065863621e-64,3.043988213901922e-67,0.0,1.283710311066644e-130,,3.043988213901922e-67
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,1537,1537,1537.0,1.991012215632988e-159,4.438953065863621e-64,3.043988213901922e-67,0.0,1.283710311066644e-130,,3.043988213901922e-67
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,1537,720,1537.0,0.14657551498312132,0.3380518563823649,0.2754184395385005,0.18217306441119063,0.15623329728553775,0.5826258665757472,0.0932453751273098
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,1537,720,720.0,0.14657551498312132,0.3380518563823649,0.2796633950054885,0.22083333333333333,0.1738418288527133,0.5769111686984685,0.058830061672155126
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,1537,1537,1537.0,0.0046794226926955215,0.07947855494903085,0.03745330482218744,0.09629147690305791,0.09014030129933723,0.5625279707353141,0.05883817208087046
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,1537,1537,1537.0,0.0046794226926955215,0.07947855494903085,0.03745330482218744,0.09629147690305791,0.09014030129933723,0.5625279707353141,0.05883817208087046
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,1537,720,1537.0,0.28935368096076497,0.6338994965577226,0.491869828821909,0.7768379960962914,0.259940682497377,0.4563194983664679,0.28496816727438246
