arm,signal,origin_or_head,support,horizon,weighting,bin,n,weight,prediction,observed_failure
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,0,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,1,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,2,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,3,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,4,495,495.0,0.4999401218963392,0.8646464646464647
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,5,1042,1042.0,0.5001186747926211,0.8291746641074856
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,6,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,7,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,8,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,per_decision,9,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,0,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,1,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,2,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,3,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,4,495,218.15714285714284,0.49994105728547195,0.8677395062536835
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,5,1042,501.84285714285716,0.5001147797649476,0.8203692106237012
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,6,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,7,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,8,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,all_executed_next_outcome_associations,equal_observed_outcomes,9,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,0,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,1,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,2,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,3,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,4,237,237.0,0.4999465565138225,0.869198312236287
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,5,482,482.0,0.5001001637506287,0.8174273858921162
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,6,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,7,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,8,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,per_decision,9,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,0,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,1,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,2,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,3,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,4,237,237.0,0.4999465565138225,0.869198312236287
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,5,482,482.0,0.5001001637506287,0.8174273858921162
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,6,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,7,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,8,0,0.0,,
baseline_reference,scalar,logging_only_entropy_NN,support_missing,direct_selected_material,equal_observed_outcomes,9,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,0,1537,1537.0,3.043988213901922e-67,0.0
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,1,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,2,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,3,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,4,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,5,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,6,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,7,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,8,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,per_decision,9,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,0,1537,1537.0,3.043988213901922e-67,0.0
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,1,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,2,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,3,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,6,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,0,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,1,43,43.0,0.1855294330148318,0.13953488372093023
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,2,1056,1056.0,0.2620639625211283,0.1581439393939394
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,3,438,438.0,0.31644025463179437,0.24429223744292236
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,4,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,5,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,6,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,7,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,8,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,9,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,0,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,1,43,16.251190476190477,0.18593584057992948,0.16614167460259321
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,2,1056,462.1607142857143,0.26314754101767285,0.19362981852839278
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,3,438,241.58809523809524,0.3175632890663316,0.2765529679600264
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,6,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,0,1537,1537.0,0.03745330482218744,0.09629147690305791
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,1,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,2,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,3,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,4,0,0.0,,
