task_id,seed,baseline_SUN,full_SUN,baseline_AUDC,full_AUDC,SUN_difference,AUDC_difference
Al-Li-V,2,0,0,0.0,0.0,0,0.0
Al-Li-V,3,2,0,0.08,0.0,-2,-0.08
Al-Li-V,4,1,2,0.15,0.28,1,0.13000000000000003
Al-V-Zn,2,4,4,0.5,0.42,0,-0.08000000000000002
Al-V-Zn,3,5,3,0.69,0.47,-2,-0.21999999999999997
Al-V-Zn,4,6,4,0.66,0.34,-2,-0.32
Au-K-Tb,2,4,0,0.26,0.0,-4,-0.26
Au-K-Tb,3,0,3,0.0,0.37,3,0.37
Au-K-Tb,4,0,1,0.0,0.07,1,0.07
Co-Dy-W,2,0,0,0.0,0.0,0,0.0
Co-Dy-W,3,0,1,0.0,0.13,1,0.13
Co-Dy-W,4,0,0,0.0,0.0,0,0.0
Co-Mg-Na,2,0,2,0.0,0.08,2,0.08
Co-Mg-Na,3,0,0,0.0,0.0,0,0.0
Co-Mg-Na,4,0,0,0.0,0.0,0,0.0
Co-Pd-Tl,2,0,0,0.0,0.0,0,0.0
Co-Pd-Tl,3,0,0,0.0,0.0,0,0.0
Co-Pd-Tl,4,0,0,0.0,0.0,0,0.0
Ga-Ho-Lu,2,4,3,0.32,0.45,-1,0.13
Ga-Ho-Lu,3,5,2,0.33,0.34,-3,0.010000000000000009
Ga-Ho-Lu,4,5,3,0.65,0.49,-2,-0.16000000000000003
Ga-Pt-Tm,2,5,5,0.57,0.51,0,-0.05999999999999994
Ga-Pt-Tm,3,2,5,0.36,0.59,3,0.22999999999999998
Ga-Pt-Tm,4,5,3,0.53,0.33,-2,-0.2
Hf-Ni-Zr,2,6,6,0.78,0.66,0,-0.12
Hf-Ni-Zr,3,8,4,0.82,0.6,-4,-0.21999999999999997
Hf-Ni-Zr,4,4,5,0.64,0.53,1,-0.10999999999999999
Mg-Sn-Sr,2,6,4,0.54,0.64,-2,0.09999999999999998
Mg-Sn-Sr,3,6,8,0.62,0.88,2,0.26
Mg-Sn-Sr,4,2,3,0.2,0.09,1,-0.11000000000000001
Au-Cr-Cs-Dy,2,0,0,0.0,0.0,0,0.0
Au-Cr-Cs-Dy,3,0,0,0.0,0.0,0,0.0
Au-Cr-Cs-Dy,4,0,0,0.0,0.0,0,0.0
Au-Tb-V-Y,2,1,0,0.11,0.0,-1,-0.11
Au-Tb-V-Y,3,2,0,0.18,0.0,-2,-0.18
Au-Tb-V-Y,4,0,0,0.0,0.0,0,0.0
Ba-Nd-Ni-W,2,0,0,0.0,0.0,0,0.0
Ba-Nd-Ni-W,3,0,0,0.0,0.0,0,0.0
Ba-Nd-Ni-W,4,0,0,0.0,0.0,0,0.0
Ce-Ir-Pt-Sn,2,1,0,0.07,0.0,-1,-0.07
Ce-Ir-Pt-Sn,3,1,0,0.11,0.0,-1,-0.11
Ce-Ir-Pt-Sn,4,5,0,0.55,0.0,-5,-0.55
Co-Dy-Ta-Y,2,0,0,0.0,0.0,0,0.0
Co-Dy-Ta-Y,3,0,0,0.0,0.0,0,0.0
Co-Dy-Ta-Y,4,2,0,0.12,0.0,-2,-0.12
Dy-K-Pd-Sm,2,0,0,0.0,0.0,0,0.0
Dy-K-Pd-Sm,3,0,0,0.0,0.0,0,0.0
Dy-K-Pd-Sm,4,0,0,0.0,0.0,0,0.0
Eu-Nb-Sn-Tl,2,0,0,0.0,0.0,0,0.0
Eu-Nb-Sn-Tl,3,0,0,0.0,0.0,0,0.0
Eu-Nb-Sn-Tl,4,0,0,0.0,0.0,0,0.0
Ag-Nd-Pd-Pt-Tb,2,1,4,0.19,0.46,3,0.27
Ag-Nd-Pd-Pt-Tb,3,5,6,0.43,0.6,1,0.16999999999999998
Ag-Nd-Pd-Pt-Tb,4,3,3,0.51,0.51,0,0.0
Al-Hg-K-Mg-W,2,7,0,0.77,0.0,-7,-0.77
Al-Hg-K-Mg-W,3,0,0,0.0,0.0,0,0.0
Al-Hg-K-Mg-W,4,0,0,0.0,0.0,0,0.0
Al-Lu-Pt-Rb-Sm,2,0,1,0.0,0.19,1,0.19
Al-Lu-Pt-Rb-Sm,3,3,0,0.23,0.0,-3,-0.23
Al-Lu-Pt-Rb-Sm,4,1,3,0.07,0.43,2,0.36
Ca-Fe-Gd-Pb-Tb,2,0,0,0.0,0.0,0,0.0
Ca-Fe-Gd-Pb-Tb,3,0,0,0.0,0.0,0,0.0
Ca-Fe-Gd-Pb-Tb,4,0,0,0.0,0.0,0,0.0
Co-Hg-Mg-Sr-W,2,0,0,0.0,0.0,0,0.0
Co-Hg-Mg-Sr-W,3,0,0,0.0,0.0,0,0.0
Co-Hg-Mg-Sr-W,4,0,0,0.0,0.0,0,0.0
Cr-Fe-Lu-Pt-Sc,2,4,0,0.34,0.0,-4,-0.34
Cr-Fe-Lu-Pt-Sc,3,0,0,0.0,0.0,0,0.0
Cr-Fe-Lu-Pt-Sc,4,0,0,0.0,0.0,0,0.0
Ho-In-Mg-Pd-Zr,2,1,4,0.17,0.42,3,0.24999999999999997
Ho-In-Mg-Pd-Zr,3,1,0,0.07,0.0,-1,-0.07
Ho-In-Mg-Pd-Zr,4,0,0,0.0,0.0,0,0.0
