task_id,baseline_SUN,full_SUN,baseline_AUDC,full_AUDC,SUN_difference,AUDC_difference,SUN_difference_variance,AUDC_difference_variance
Al-Li-V,1,0.6666666666666666,0.07666666666666666,0.09333333333333334,-0.3333333333333333,0.016666666666666677,2.3333333333333335,0.011233333333333338
Al-V-Zn,5,3.6666666666666665,0.6166666666666667,0.41,-1.3333333333333333,-0.20666666666666667,1.3333333333333333,0.014533333333333332
Au-K-Tb,1.3333333333333333,1.3333333333333333,0.08666666666666667,0.14666666666666667,0,0.06,13,0.0993
Co-Dy-W,0,0.3333333333333333,0.0,0.043333333333333335,0.3333333333333333,0.043333333333333335,0.33333333333333337,0.005633333333333334
Co-Mg-Na,0,0.6666666666666666,0.0,0.02666666666666667,0.6666666666666666,0.02666666666666667,1.3333333333333335,0.0021333333333333334
Co-Pd-Tl,0,0,0.0,0.0,0,0.0,0,0.0
Ga-Ho-Lu,4.666666666666667,2.6666666666666665,0.43333333333333335,0.4266666666666667,-2,-0.006666666666666672,1,0.021233333333333337
Ga-Pt-Tm,4,4.333333333333333,0.48666666666666664,0.4766666666666667,0.3333333333333333,-0.00999999999999999,6.333333333333334,0.0481
Hf-Ni-Zr,6,5,0.7466666666666667,0.5966666666666667,-1,-0.15,7,0.003699999999999999
Mg-Sn-Sr,4.666666666666667,5,0.45333333333333337,0.5366666666666666,0.3333333333333333,0.08333333333333333,4.333333333333334,0.034433333333333344
Au-Cr-Cs-Dy,0,0,0.0,0.0,0,0.0,0,0.0
Au-Tb-V-Y,1,0,0.09666666666666666,0.0,-1,-0.09666666666666666,1,0.008233333333333332
Ba-Nd-Ni-W,0,0,0.0,0.0,0,0.0,0,0.0
Ce-Ir-Pt-Sn,2.3333333333333335,0,0.24333333333333335,0.0,-2.3333333333333335,-0.24333333333333335,5.333333333333333,0.07093333333333335
Co-Dy-Ta-Y,0.6666666666666666,0,0.04,0.0,-0.6666666666666666,-0.04,1.3333333333333335,0.004799999999999999
Dy-K-Pd-Sm,0,0,0.0,0.0,0,0.0,0,0.0
Eu-Nb-Sn-Tl,0,0,0.0,0.0,0,0.0,0,0.0
Ag-Nd-Pd-Pt-Tb,3,4.333333333333333,0.37666666666666665,0.5233333333333333,1.3333333333333333,0.14666666666666667,2.3333333333333335,0.018633333333333335
Al-Hg-K-Mg-W,2.3333333333333335,0,0.25666666666666665,0.0,-2.3333333333333335,-0.25666666666666665,16.333333333333332,0.19763333333333336
Al-Lu-Pt-Rb-Sm,1.3333333333333333,1.3333333333333333,0.1,0.20666666666666667,0,0.10666666666666666,7,0.09223333333333332
Ca-Fe-Gd-Pb-Tb,0,0,0.0,0.0,0,0.0,0,0.0
Co-Hg-Mg-Sr-W,0,0,0.0,0.0,0,0.0,0,0.0
Cr-Fe-Lu-Pt-Sc,1.3333333333333333,0,0.11333333333333334,0.0,-1.3333333333333333,-0.11333333333333334,5.333333333333334,0.038533333333333336
Ho-In-Mg-Pd-Zr,0.6666666666666666,1.3333333333333333,0.08,0.13999999999999999,0.6666666666666666,0.05999999999999999,4.333333333333334,0.028299999999999995
