AUDC,SUN,arm,budget,job_id,seed,task_id,actual_extra_proposals,candidate_step_failures,changed_from_first_valid_with_unknown_support,duplicate_known_step_candidate_hashes,duplicate_tool_arguments,event_stable_new,event_stable_new_missing,executed_policy_tools,failed_selects,fixed_recovery_tools,generation_invalid,graph_other_or_absent,graph_succeeded,graph_unavailable,multiple_controller_valid,negative_SUN_curve_deltas,other_extra_proposals,other_retry_requests,physical_steps,proposals,scalar_control_threshold_crossings,scalar_threshold_extra_proposals,schema_extra_proposals,schema_invalid,schema_retry_requests,schema_status_missing,selected_nonfirst,selected_nonfirst_after_schema,sequences,stable_new_with_zero_SUN_delta,steps_with_negative_event_minus_SUN_delta,steps_with_positive_event_minus_SUN_delta,support_false,support_missing,support_true,supported_scalar_threshold_crossings,supported_valid_pair_comparisons,supported_valid_pair_selected_second,supported_valid_pair_selection_changes,tool_failures,type_extra_proposals,type_retry_requests,unexecuted_candidates,unexecuted_future_labels,unknown_step_candidate_hashes,scalar_n,scalar_min,scalar_max,event_minus_final,formula_top_fraction,unique_evaluated_formulas,wall_seconds,graph_seconds,initialization_calls,MACE_events,MACE_cost_field,tool_counts,actual_model_state_hash
0.0,0,baseline_reference,10,component-final-32355a4d9bcc6137d52ada7b,2,Al-Li-V,0,0,0,0,3,0,0,24,3,0,0,24,0,0,0,0,0,0,10,24,0,0,0,0,0,24,0,0,24,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,24,0.4998978078365326,0.5006795525550842,0,0.4,6,660.474311394617,0,16,190,190,"{""generate_structures"":7,""score_buffer"":4,""select_for_evaluation"":13}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.08,2,baseline_reference,10,component-final-10ad51e80000935d29c71786,3,Al-Li-V,0,0,0,0,1,2,0,22,2,0,0,22,0,0,0,0,0,0,10,22,0,0,0,0,0,22,0,0,22,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,22,0.4998568594455719,0.5004435181617737,0,0.3,6,610.2276311237365,0,16,204,204,"{""generate_structures"":7,""score_buffer"":3,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.15,1,baseline_reference,10,component-final-a51d66c7e21ca9788f45a008,4,Al-Li-V,0,0,0,0,1,1,0,13,1,0,0,13,0,0,0,0,0,0,10,13,0,0,0,0,0,13,0,0,13,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,13,0.4999549388885498,0.5004918575286865,0,0.5,6,248.28606204409152,0,16,0,,"{""generate_structures"":2,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,full_support_aware,10,support-final-bceab85ac67db411774a2563,2,Al-Li-V,1,0,0,0,0,0,0,17,2,0,1,0,17,1,0,0,0,0,10,18,0,0,1,1,1,0,1,1,17,0,0,0,1,0,17,0,0,0,0,2,0,0,1,0,0,17,0.49946722388267517,0.5011399984359741,0,0.3,6,1376.5666472828016,1037.7491201329976,16,31,31,"{""generate_structures"":3,""query_structures"":1,""score_buffer"":1,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,full_support_aware,10,support-final-2b96c9fd2ded8ff4d3c9fa7b,3,Al-Li-V,2,0,0,0,3,0,0,18,3,0,1,0,17,3,1,0,0,0,10,20,0,0,1,1,1,0,1,1,18,0,0,0,3,0,17,0,0,0,0,3,1,1,2,0,0,19,0.49944666028022766,0.5009153485298157,0,0.7,4,1640.21006469056,1268.7607490131631,16,0,,"{""generate_structures"":4,""query_structures"":1,""select_for_evaluation"":13}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.28,2,full_support_aware,10,support-final-cda0e2a385af0e786df7d24a,4,Al-Li-V,2,0,0,0,3,2,0,21,5,0,1,0,20,3,1,0,0,0,10,23,0,0,1,1,1,0,1,1,21,0,0,0,3,0,20,0,0,0,0,5,1,1,2,0,0,22,0.49955257773399353,0.5012467503547668,0,0.7,3,1722.1736632306129,1345.7968943314627,16,0,,"{""generate_structures"":5,""query_structures"":1,""select_for_evaluation"":15}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.5,4,baseline_reference,10,component-final-50555fb4776e15c94b4beec9,2,Al-V-Zn,1,0,0,0,3,5,0,19,1,0,1,20,0,0,0,0,1,0,10,20,0,0,0,0,0,20,1,0,19,1,0,1,0,20,0,0,0,0,0,1,0,0,1,0,0,19,0.4998779594898224,0.5005806684494019,1,0.3,7,392.72770109865814,0,12,91,91,"{""generate_structures"":6,""score_buffer"":2,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.69,5,baseline_reference,10,component-final-52aa59f42080e58cda2f64b0,3,Al-V-Zn,2,0,0,0,0,5,0,21,2,0,2,23,0,0,0,0,2,0,10,23,0,0,0,0,0,23,2,0,21,0,0,0,0,23,0,0,0,0,0,2,0,0,2,0,0,21,0.49985942244529724,0.5002878904342651,0,0.6,4,364.4171622013673,0,12,20,20,"{""generate_structures"":7,""list_compositions"":1,""score_buffer"":1,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.66,6,baseline_reference,10,component-final-70adf56898316f73ea4720ab,4,Al-V-Zn,0,0,0,0,0,6,0,16,1,0,0,16,0,0,0,0,0,0,10,16,0,0,0,0,0,16,0,0,16,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,16,0.4999057352542877,0.5002589821815491,0,0.4,5,271.7387802693993,0,12,0,,"{""generate_structures"":5,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.42,4,full_support_aware,10,support-final-ca740c106b65301c3c20f121,2,Al-V-Zn,2,0,0,0,1,4,0,15,0,0,2,0,13,4,0,0,0,0,10,17,0,0,2,2,2,0,2,2,15,0,0,0,4,0,13,0,0,0,0,0,0,0,2,0,0,15,0.4995424151420593,0.501052975654602,0,0.6,3,1292.4230958055705,967.7010762067512,12,0,,"{""generate_structures"":4,""get_buffer_stats"":1,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.47,3,full_support_aware,10,support-final-c3b9e4053e380cd376460042,3,Al-V-Zn,0,0,0,0,2,4,0,18,2,0,0,0,17,1,0,0,0,0,10,18,0,0,0,0,0,0,0,0,18,1,0,1,1,0,17,0,0,0,0,2,0,0,0,0,0,18,0.4990677237510681,0.5012679100036621,1,0.4,5,1641.145757730119,1300.7550306497142,12,0,,"{""generate_structures"":6,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.34,4,full_support_aware,10,support-final-8d9484c7a3dc0a3085dccdab,4,Al-V-Zn,1,0,0,0,0,4,0,12,1,0,0,0,12,1,1,0,0,0,10,13,0,0,0,0,0,0,0,0,12,0,0,0,1,0,12,0,0,0,0,1,1,1,1,0,0,13,0.4994620382785797,0.5008910894393921,0,0.6,3,1143.3160809478723,894.3014179375023,12,0,,"{""generate_structures"":1,""select_for_evaluation"":11}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.26,4,baseline_reference,10,component-final-829f81d1c8b6dff9869aa711,2,Au-K-Tb,1,0,0,0,1,4,0,17,1,0,1,18,0,0,0,0,1,0,10,18,0,0,0,0,0,18,1,0,17,0,0,0,0,18,0,0,0,0,0,1,0,0,1,0,0,17,0.49994349479675293,0.5003523826599121,0,0.3,7,355.48606337979436,0,11,46,46,"{""generate_structures"":3,""score_buffer"":3,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
