arm,task,budget,seed,candidate_oracle_attempt,SUN,job_id,result_sha256
Native,Mg-Sn-Sr,5,1,0,0,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446
Native,Mg-Sn-Sr,5,1,1,1,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446
Native,Mg-Sn-Sr,5,1,2,2,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446
Native,Mg-Sn-Sr,5,1,3,3,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446
Native,Mg-Sn-Sr,5,1,4,4,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446
Native,Mg-Sn-Sr,5,1,5,5,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446
Hidden145Fixed2,Mg-Sn-Sr,5,1,0,0,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1
Hidden145Fixed2,Mg-Sn-Sr,5,1,1,1,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1
Hidden145Fixed2,Mg-Sn-Sr,5,1,2,2,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1
Hidden145Fixed2,Mg-Sn-Sr,5,1,3,2,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1
Hidden145Fixed2,Mg-Sn-Sr,5,1,4,3,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1
Hidden145Fixed2,Mg-Sn-Sr,5,1,5,4,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1
G2Full,Mg-Sn-Sr,5,1,0,0,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216
G2Full,Mg-Sn-Sr,5,1,1,1,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216
G2Full,Mg-Sn-Sr,5,1,2,2,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216
G2Full,Mg-Sn-Sr,5,1,3,3,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216
G2Full,Mg-Sn-Sr,5,1,4,4,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216
G2Full,Mg-Sn-Sr,5,1,5,4,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216
