job_id,arm,system,seed,budget,attempt_id,classification,physical_oracle_attempts_proved,tool_requests,step_requests,initialization_requests,closed_phase_exit_sha256
component-final-3c016f48b9e3c30f735dfc9c,baseline_reference,Co-Pd-Tl,2,30,39ef3e24c15d4ff8b9ab3d08963d8b6c,confirmed_pre_execution_missing_asset,0,0,0,1,24927f086d2cd6e3b3a0eb380d4c418822c0f1302dccb6f8e8b4d5a985378c91
component-final-0cbb5ebed238f72ad5c62449,baseline_reference,Ga-Ho-Lu,2,30,359c39b24adf4910a0ebdd57751f416b,confirmed_pre_execution_missing_asset,0,0,0,1,b9fd1fb053e7deb2ca847390fe3dc1496980c36245df46f7795b700abdbaad1b
component-final-3c6948445e21517eab423ae6,baseline_reference,Ga-Pt-Tm,2,30,1a2a2c4691eb46b380130bc0d0a7430d,confirmed_pre_execution_missing_asset,0,0,0,1,b36deb86a08d60a56c8823d9e0448939059aaae9d294437cba42eea748f655c5
component-final-fd8319dc586213dd6bc760e8,baseline_reference,Hf-Ni-Zr,2,30,d821410f99d64e2fa2d38ffae09703bc,confirmed_pre_execution_missing_asset,0,0,0,1,0740d69d34b458ac01f6ada7d4d592217a8ec678dc0cc600b8fac8356e1498d7
component-final-8e961625e5f8d2262b53b613,es_only_independent,Ga-Ho-Lu,2,30,eaef869e041649aa8c968efca053b857,confirmed_pre_execution_missing_asset,0,0,0,1,1b62185fc126b17e351238eb72ad7a833fed42212102a1257854f71d8eb3fa3b
component-final-9dee8e34bf5bc70d4bac4cd3,es_only_independent,Mg-Sn-Sr,2,30,15894aa50b64496ab78adc56b1bc4885,confirmed_pre_execution_missing_asset,0,0,0,1,d6ebdebfdb2ecce9f57a882b9781bee515fb398f7b2f674061a1088071680bf6
component-final-f4a3709e5664ecb9c4b2b3ce,es_only_independent,Au-Cr-Cs-Dy,2,30,3b349d8f0b8d452c8a60180c23831df7,confirmed_pre_execution_missing_asset,0,0,0,1,7fdfc72775047bef2bed3c16bf2e061f7fe7fe57bb93034a3d05b0f0ff50d4c0
component-final-3f8fc5afd0b271bd7b06a4e9,es_only_independent,Au-Tb-V-Y,2,30,3e578a29b8ab4d92b01c08122c26b2d7,confirmed_pre_execution_missing_asset,0,0,0,1,b933d04cf21ec087865c1829d5ec2562ed66aa4b1e8c34919216bdbbd2f6ffc8
component-final-dd13c6c7073de0c9cf3f0c0c,es_only_independent,Ba-Be-Hf-Li,2,30,e2e72a37c2e64a1cace61578ce2039e2,confirmed_pre_execution_missing_asset,0,0,0,1,85cb6448670601acec679720035e895536246391ebaef56243fc4b849c1bdc5f
support-final-01d87f9e1ee522f77481f276,uq_only_support_aware,Co-Dy-Ta-Y,4,10,19edd71d4e7444758baab2f1b4adefe9,confirmed_pre_execution_missing_asset,0,0,0,1,4d650c41fb2e5f9263ac24f5d52982a8a865c52d44d3d05eb78b2ff776fea939
