budget,job_id,model_id,model_revision,seed,split,stage,task_id,status,SUN,AUDC,mSUN,result_sha256,failure_sha256
50,collection-made-qwen35-9b-v1-b2e27268bcd3ed3a45d766e5,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,train,collection,Al-Au-Hf,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-4eeb32242569e1f59c2fea0b,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,train,collection,Al-Au-Hf,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-77ecb57073ee2d2e70249682,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,train,collection,Al-Au-Hf,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-6eea5f96cc5c5c2343bca6c9,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,train,collection,Au-Li-Pd,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-9cd3bdeb340468884b8d0f99,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,train,collection,Au-Mg-Nd,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-b7effee7747bb0f2001a2014,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,dev,collection,Al-Pd-Sm,unclaimed,,,,,
50,collection-made-qwen35-9b-v1-4e6160b172897356904d9109,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,1,dev,collection,Dy-In-Pd,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-457357831752a303f15a4950,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Al-Li-V,accepted,1,0.01,0.1,14cbe67431dc3adfbf5b181e2043db3c581622ce1ae0096f12d63a148599f663,
10,qwen35-9b-core-baseline-v1-b39ab0b590b64ba91017e778,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Al-Li-V,claimed_pending,,,,,
10,qwen35-9b-core-baseline-v1-612c021e510b4ea69dc1c682,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Al-Li-V,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-ef4de55a3dadb5eb50a80440,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Al-V-Zn,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-c757bc7d9a420855f00f8414,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Al-V-Zn,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-fed029a700b9f3f66153f67d,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Al-V-Zn,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-30ed342bb8b1bc931fdc8450,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Au-K-Tb,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-c1a6a99e1657b275c0c44a70,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Au-K-Tb,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-e63283d21f323b39b826711a,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Au-K-Tb,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-50af3e552cf5d9ebe550180a,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Co-Dy-W,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-036f873bd642ec7374f0d48b,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Co-Dy-W,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-3e6caa38fe59768b4662baf0,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Co-Dy-W,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-ec28851881b67182b12c95c0,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,2,test,final_eval,Co-Mg-Na,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-8c84a53147e0ae9a398c4b03,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,3,test,final_eval,Co-Mg-Na,unclaimed,,,,,
10,qwen35-9b-core-baseline-v1-c04a8078d4427a7821f264b9,Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,4,test,final_eval,Co-Mg-Na,unclaimed,,,,,
