job_id,budget,task_id,method,seed,candidate_attempt,SUN
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,0,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,1,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,2,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,3,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,4,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,5,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,6,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,7,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,8,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,9,0
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,10,0
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,0,0
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,1,0
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,2,0
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,3,0
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,4,1
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,5,1
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,6,1
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,7,1
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,8,2
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,9,2
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,10,2
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,0,0
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,1,1
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,2,1
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,3,2
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,4,3
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,5,4
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,6,5
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,7,5
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,8,5
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,9,5
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,10,6
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,0,0
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,1,0
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,2,1
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,3,1
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,4,1
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,5,2
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,6,2
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,7,2
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,8,2
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,9,3
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,10,4
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,0,0
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,1,1
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,2,2
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,3,3
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,4,4
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,5,4
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,6,5
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,7,6
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,8,6
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,9,6
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,10,6
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,0,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,1,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,2,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,3,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,4,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,5,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,6,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,7,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,8,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,9,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,10,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,0,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,1,0
