job_id,budget,task_id,method,seed,claimed_utc,committed_utc,init_request_utc,close_response_utc,claim_to_commit_seconds,post_close_acceptance_seconds,rollout_wall_seconds,initialization_wall_seconds,graph_seconds_included_in_rollout,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,dft_episode_attempts,llm_calls,prompt_tokens,completion_tokens,rpc_attempts,tool_attempts,score_sentinels
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,2026-09-17T05:33:52.805128+00:00,2026-09-17T05:48:31.558401+00:00,2026-09-17T05:33:53.205763+00:00,2026-09-17T05:46:00.358461+00:00,878.7532732486725,151.19993996620178,691.1749484436586,36.021957812365144,0,10,16,29,,18,34805,2508,36,18,
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,2026-09-17T06:20:59.642845+00:00,2026-09-17T07:16:00.782951+00:00,2026-09-17T06:20:59.951739+00:00,2026-09-17T07:11:40.991308+00:00,3301.140105485916,259.7916421890259,3003.897455302067,37.15855568414554,1896.2297217091545,10,16,,,35,52850,4922,40,20,
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,2026-09-17T05:48:32.810817+00:00,2026-09-17T06:00:30.113608+00:00,2026-09-17T05:48:33.083371+00:00,2026-09-17T05:57:55.409566+00:00,717.3027911186218,154.70404148101807,531.1194243896753,31.216479413677007,0,10,12,16,,19,41070,2323,38,19,15
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,2026-09-17T07:16:02.334082+00:00,2026-09-17T08:20:00.705791+00:00,2026-09-17T07:16:02.622442+00:00,2026-09-17T08:17:28.876473+00:00,3838.3717093467712,151.82931804656982,3656.516004758887,29.766606057994068,2391.951603356283,10,12,,,46,77646,6214,50,25,
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,2026-09-17T10:14:15.563729+00:00,2026-09-17T10:41:46.417339+00:00,2026-09-17T10:14:15.940664+00:00,2026-09-17T10:27:51.875788+00:00,1650.8536105155945,834.5415515899658,779.171055121813,36.80289253499359,0,10,11,59,,21,41266,2502,40,20,10
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,2026-09-17T11:54:47.120756+00:00,2026-09-17T12:51:11.678498+00:00,2026-09-17T11:54:47.426342+00:00,2026-09-17T12:38:19.043484+00:00,3384.5577421188354,772.635014295578,2568.4011063771322,43.231143054086715,1052.400583405979,10,11,,,59,100614,6133,52,26,
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,2026-09-17T10:41:50.093352+00:00,2026-09-17T11:13:09.362238+00:00,2026-09-17T10:41:50.429834+00:00,2026-09-17T11:00:39.131837+00:00,1879.268886089325,750.230400800705,1080.4845227072947,48.22303618071601,0,10,11,66,,27,58139,3275,54,27,17
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,2026-09-17T10:28:47.091262+00:00,2026-09-17T11:06:02.903739+00:00,2026-09-17T10:28:47.398064+00:00,2026-09-17T10:53:35.823389+00:00,2235.8124775886536,747.0803499221802,1449.447651279159,38.99980193004012,1012.6800636798143,10,11,,,29,65733,3276,40,20,
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,2026-09-17T11:13:12.220622+00:00,2026-09-17T11:39:45.933858+00:00,2026-09-17T11:13:12.566876+00:00,2026-09-17T11:26:58.420810+00:00,1593.7132353782654,767.5130476951599,785.4784273309633,40.39091668231413,0,10,13,79,,23,53140,3076,42,21,31
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,2026-09-17T11:06:06.424078+00:00,2026-09-17T11:42:06.823644+00:00,2026-09-17T11:06:06.751565+00:00,2026-09-17T11:30:10.726225+00:00,2160.399566888809,716.097419500351,1408.2547592697665,35.73544534947723,801.8299032542855,10,13,,,45,82139,4638,56,28,
