budget,task_id,seed,baseline_result_sha256,full_result_sha256,baseline_SUN,full_SUN,delta_SUN,baseline_mSUN,full_mSUN,delta_mSUN,baseline_AUDC,full_AUDC,delta_AUDC
30,Ag-Nd-Pd-Pt-Tb,1,5dfd5c9211283b706afd765c6a07603f65d2eef605198d403f4c2186f3bb73b7,4f4c1569e585e7d3c17aff6161512bc15e0b42d166b19479a00d49187ee7d70d,11,9,-2,0.36666666666666664,0.3,-0.06666666666666665,0.3011111111111111,0.3433333333333333,0.04222222222222222
30,Al-Hg-K-Mg-W,1,8f52489340df6c66a7d98367cf165bd7b9ebbcfaab3e8ba06f50701a3c7e124b,cc1e08084847b9b6f66cc8ecf58ff62d0528ca70562a6efba66627c1b30961a4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Al-Li-V,1,0e55b8c13ce8e87041c928a9a2f586a9a381a362232e8321f39b7949584418a0,935fee5f7b382a51867bbbdaf853024a76a77bd4de85f2a87d3fca86ec652ee7,7,3,-4,0.23333333333333334,0.1,-0.13333333333333333,0.3055555555555556,0.15,-0.15555555555555559
30,Al-Lu-Pt-Rb-Sm,1,cfb854945e89fa0315c7be8ea40c48875e1efdaa76eee324f52e291c0ba27c60,f1bc1f829ee2bbd61b2ab0cd317118848dcbb42a03e12cd2f4d0af19e80a34ee,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Al-V-Zn,1,a40c2dcc5e96a80af21e0c35ee2cf59907557c1b668facb74555daa98a0038fd,876d33adda136195d3e759e5e313dcb42c65a814a0ec911911c4913a3c42f1a6,12,12,0,0.4,0.4,0.0,0.4088888888888889,0.3422222222222222,-0.06666666666666671
30,Au-Cr-Cs-Dy,1,eb51be250e71518e8c33f086b786d9efa07baccd77960b5d5030a74853440a38,c341f37cb2f07b22d211e3ec0176dde853c56e8882b1c6b08db8c5ebb4928295,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Au-K-Tb,1,31c92b435eb6fedaa07bfec437bafa6a4ad96f64613d75cd679ce99316766d07,b9340cac79f02c247e242cac145d96976e01b722e5f0182e94ace274b8c9f2eb,18,3,-15,0.6,0.1,-0.5,0.6311111111111111,0.06555555555555556,-0.5655555555555555
30,Au-Tb-V-Y,1,2e902a909c9ed18bfd74616870e07a68a2a226b745c78098d366f005d112658f,fcfc45806ed0f207df4918e433434721e07a3ada479d6b162f6facf1eb6d5cb0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ba-Be-Hf-Li,1,afcf9460b5bd8c0f5f7af1cbfab92652fe878b22be99f578514d985f50182c6d,faf237496d7e7c921b90698ed2338aa4e921e737e9e1b96207ca4eb725912b09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ba-Nd-Ni-W,1,83f88ab773b130e8bbff8922debbc8c3f079eb37f2fc73a3a01b6fb3e7777ff0,d290ef8e1b4cffae29fc82bd7fce15538c10c5bc8641a4b99df1d2dbb46340b5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ca-Fe-Gd-Pb-Tb,1,67301171b60dba68484b86faa5a99cd1877275ab4036f73ab0b5f2e204a61d30,998e1cd57c214513882de5571a6a9da868ecd7244ab50d1b59b2b6ad81708082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ca-Pd-Sn-W,1,88e39a0fbc800981c7ebcf2d512fa2aaae6bf779f612b83ee9f88bd33be8149a,f203f1d5d84256fe468e492f73420f98c7d117ed3437a72dd6e0333da39fbfa6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Cd-Gd-Mn-Na-Ta,1,2b8da3ab4781b5fa0a1ddf1a948f288e7bc9d5cabe68580491ab1ad0f1bcc8be,d9ee3285aa5a3e95433d0209472cc0ef65d2ae3db9b6fc0dfaf0b5c99d2182fe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Cd-Li-Nd-Ti-W,1,8eecc4f567265f9229c3b444f11ef91b3b5516e5e73d9f9eaf40ba7ab73fffec,763c6d38fafbf5b46dad004351214749b02e66ca692abe11852f452559a5d363,2,11,9,0.06666666666666667,0.36666666666666664,0.3,0.12666666666666668,0.46555555555555556,0.3388888888888889
30,Ce-Er-Pb-Rh,1,32b53fa2379f8801f7fef7f2edbd2c7beeb40ce32b7239716c4b98c3234c5cea,4ac6f71a275ed8b65fce9c59ff8901aadf1351c6f67b0f23a7fb913383a7d9b8,3,4,1,0.1,0.13333333333333333,0.033333333333333326,0.12111111111111111,0.2222222222222222,0.1011111111111111
30,Ce-Ir-Pt-Sn,1,4ff25007216c279c254dc674ed68a2b9ea21f7c1d35f685fbfd01411d521ffa9,1e07bf1335eacff7bca5c4cf4a61b38409e899d221d681ed6eef0a3e414dde03,12,4,-8,0.4,0.13333333333333333,-0.2666666666666667,0.35555555555555557,0.24888888888888888,-0.10666666666666669
30,Co-Dy-Ta-Y,1,146e207f17b33429c6e7be58f4c47293de55ea5198cde9708b8a7cbff7aefc96,fb0b3b131a3f3e29a8c823c854b777087a8486fe1adc85e96a24778c8c3c91b7,1,2,1,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.05444444444444444,0.035555555555555556,-0.018888888888888886
30,Co-Dy-W,1,505e444ca4d5458b02b424de10f705a7d7e8b1ff85f27a382a84a8042c07533e,9b8cb4fdd4c9a209e97f6a2616370a8f79475a74a5e5a15422d2a0525ca7c9e0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Co-Hf-In-Ru-Tm,1,f199eab8bf9288e8ee3d456ec69519860d422fedf7fc47c2fd036e5a91b224e8,a17c7b4adba477a3d445c7641f2745418705d5d1540e3aac9ed3e2397d1de1bd,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Co-Hg-Mg-Sr-W,1,9c656bc2843bff2119e1e48c0f5df7da226ddb64f9893f1f7b17b7ef0cfed1d9,11fe757b94b13ce4c90ed03e8897bb91a2b13139f305504a4ba9f485a6209e9d,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Co-Mg-Na,1,71095b213da82aa0bd8a3ac79425fefd3325b9c194be778e70907b30104057d2,6b99d9b97c3be36bc8e7f9c5bd0138615c6106a62464581df1a46400074c15b9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Co-Pd-Tl,1,574c78a41a1f106de923ece5a9ed81c067f5cbf6749982d4e6d067529f50b6a3,80c757b2fcb02a1f6f56545b50a200584282cd083dfb256885dba339e792bae6,3,0,-3,0.1,0.0,-0.1,0.15666666666666668,0.0,-0.15666666666666668
30,Cr-Fe-Lu-Pt-Sc,1,e7a88b96cf148252cbe37d5d6843b9c11d1dcebb060dd2903d7d198483ee6382,de1a2ea6589a031f01a99540679e855692796d1d93886b3d2f0439e41ac4ec3d,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Dy-K-Pd-Sm,1,5a9aca7075de9465c048e66e1c522e4c55cc636f701622efe910f929476c1451,753a1f2ca1674cfe5817ba2427032d076a3cde4a3497de2b979d2708a69ea14e,0,3,3,0.0,0.1,0.1,0.0,0.17666666666666667,0.17666666666666667
30,Eu-Nb-Sn-Tl,1,a9a381e4c7827e362610845b5f8a2695979f44b10516b6c4d465e867a8c3dbae,d4e93d97122efaeb8db405c7e82182956c7a368f4e1e2ffd6b8faf80383052b7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ga-Ho-Lu,1,eb1ec7265e68e83f350b115881782aab23a9bfa45e8076f0dd8e5734c3206d7e,fb660b666c933f4bf1f63131617a0586bf95c18e676dcc1b141cda2a0e16c431,10,11,1,0.3333333333333333,0.36666666666666664,0.033333333333333326,0.4177777777777778,0.40555555555555556,-0.012222222222222245
30,Ga-Pt-Tm,1,d4765aefe99ab15e023c2faf2e4fec9976e9569c8a0e5163ccf790ad37675a65,ee88011ec52e3d9a0eccfa6d7920553292ff990dc5dd2a46991a84a448efb3c4,15,10,-5,0.5,0.3333333333333333,-0.16666666666666669,0.5855555555555556,0.46444444444444444,-0.12111111111111117
30,Hf-Ni-Zr,1,c4cc2c61c6f5b5d93b795985e37570e9574fe68b0da3c8edd1ac4d75c7bf77fd,ccb4684f4c0779bff3ad67c6004f1c0b0f9c3d9122a752e2f1a639811c1059b9,15,10,-5,0.5,0.3333333333333333,-0.16666666666666669,0.45222222222222225,0.28,-0.17222222222222222
