budget,metric,group,n,mean,sample_variance_ddof1,sample_sd_ddof1,population_variance_ddof0,seed,variance_axis
10,SUN,baseline,30,1.4,5.351724137931034,2.313379376135923,5.173333333333333,1,chemical_system
10,SUN,full,30,1.8,6.5103448275862075,2.5515377378330517,6.293333333333334,1,chemical_system
10,SUN,full_minus_baseline,30,0.4,7.006896551724138,2.6470543159754274,6.773333333333333,1,chemical_system
10,mSUN,baseline,30,0.13999999999999999,0.05351724137931033,0.2313379376135923,0.051733333333333326,1,chemical_system
10,mSUN,full,30,0.18,0.06510344827586208,0.25515377378330517,0.06293333333333334,1,chemical_system
10,mSUN,full_minus_baseline,30,0.04,0.07006896551724137,0.26470543159754273,0.06773333333333333,1,chemical_system
10,AUDC,baseline,30,0.15466666666666667,0.06292919540229885,0.25085692217337524,0.06083155555555556,1,chemical_system
10,AUDC,full,30,0.18866666666666668,0.07755678160919541,0.27849018224920497,0.07497155555555556,1,chemical_system
10,AUDC,full_minus_baseline,30,0.033999999999999996,0.08939724137931035,0.29899371461505736,0.08641733333333333,1,chemical_system
30,SUN,baseline,30,4.533333333333333,50.60229885057471,7.113529282330587,48.91555555555556,1,chemical_system
30,SUN,full,30,3.2333333333333334,22.116091954022988,4.7027749206211205,21.378888888888888,1,chemical_system
30,SUN,full_minus_baseline,30,-1.3,19.113793103448273,4.3719324221044715,18.476666666666667,1,chemical_system
30,mSUN,baseline,30,0.1511111111111111,0.056224776500638576,0.2371176427443529,0.054350617283950624,1,chemical_system
30,mSUN,full,30,0.10777777777777778,0.024573435504469988,0.15675916402070403,0.023754320987654322,1,chemical_system
30,mSUN,full_minus_baseline,30,-0.043333333333333335,0.02123754789272031,0.14573108073681576,0.02052962962962963,1,chemical_system
30,AUDC,baseline,30,0.16081481481481483,0.05876900241237406,0.2424231886853526,0.056810035665294925,1,chemical_system
30,AUDC,full,30,0.12418518518518519,0.03084382148431957,0.17562409141208268,0.029815694101508916,1,chemical_system
30,AUDC,full_minus_baseline,30,-0.03662962962962964,0.023901956861075633,0.1546025771488808,0.023105224965706446,1,chemical_system
50,SUN,baseline,0,,,,,1,chemical_system
50,SUN,full,0,,,,,1,chemical_system
50,SUN,full_minus_baseline,0,,,,,1,chemical_system
50,mSUN,baseline,0,,,,,1,chemical_system
50,mSUN,full,0,,,,,1,chemical_system
50,mSUN,full_minus_baseline,0,,,,,1,chemical_system
50,AUDC,baseline,0,,,,,1,chemical_system
50,AUDC,full,0,,,,,1,chemical_system
50,AUDC,full_minus_baseline,0,,,,,1,chemical_system
