arm,metric,n,mean,sample_variance_ddof1,SD,variance_axis,raw_values_seed_order
es_only,final_hv,5,0.8810648800695804,3.4416407039038147e-09,5.866549841179068e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810117795428745, 0.8810624508552998, 0.8810858705704109, 0.8811525198364422, 0.8810117795428745]"
es_only,final_hv_gain,5,5.310052670588483e-05,3.441640703903815e-09,5.866549841179068e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 5.067131242530998e-05, 7.409102753641594e-05, 0.00014074029356769824, 0.0]"
es_only,mean_querywise_hv,5,0.8810280511595712,2.8099693607609074e-10,1.676296322480279e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810117795428745, 0.8810300212153476, 0.8810354886716861, 0.8810511868250734, 0.8810117795428745]"
es_only,mean_querywise_hv_gain,5,1.627161669674404e-05,2.809969360757887e-10,1.676296322479378e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 1.8241672473111593e-05, 2.3709128811653102e-05, 3.9407282198955505e-05, 0.0]"
es_only,invalid_proposal_rate,5,0.021461609620721554,0.0006791044712257212,0.02605963298332732,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.06382978723404255, 0.021739130434782608, 0.0, 0.021739130434782608, 0.0]"
es_only,brier,0,,,,evaluation_seeds_5101_to_5105_fixed_adaptation,[]
gp_ei_scalarized,final_hv,5,0.8813788439027148,1.078542842137666e-08,0.0001038529172501989,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8812016701691266, 0.8814440774053244, 0.8814209242846803, 0.8813732472054103, 0.8814543004490322]"
gp_ei_scalarized,final_hv_gain,5,0.00036706435984030784,1.078542842137666e-08,0.0001038529172501989,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0001898906262521871, 0.0004322978624499152, 0.0004091447418058669, 0.0003614676625358637, 0.00044252090615770623]"
gp_ei_scalarized,mean_querywise_hv,5,0.8812985671193094,1.0863263427512604e-08,0.00010422698032425483,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8811498573813976, 0.8813890628785692, 0.8812505713143379, 0.8813006566764038, 0.8814026873458388]"
gp_ei_scalarized,mean_querywise_hv_gain,5,0.000286787576434941,1.0863263427552834e-08,0.00010422698032444783,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.00013807783852324507, 0.0003772833356940919, 0.00023879177146250098, 0.00028887713352947707, 0.00039090780296539005]"
gp_ei_scalarized,invalid_proposal_rate,5,0.0,0.0,0.0,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 0.0, 0.0, 0.0, 0.0]"
gp_ei_scalarized,brier,0,,,,evaluation_seeds_5101_to_5105_fixed_adaptation,[]
qwen_base,final_hv,5,0.8810648800695804,3.4416407039038147e-09,5.866549841179068e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810117795428745, 0.8810624508552998, 0.8810858705704109, 0.8811525198364422, 0.8810117795428745]"
qwen_base,final_hv_gain,5,5.310052670588483e-05,3.441640703903815e-09,5.866549841179068e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 5.067131242530998e-05, 7.409102753641594e-05, 0.00014074029356769824, 0.0]"
qwen_base,mean_querywise_hv,5,0.8810280511595712,2.8099693607609074e-10,1.676296322480279e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810117795428745, 0.8810300212153476, 0.8810354886716861, 0.8810511868250734, 0.8810117795428745]"
qwen_base,mean_querywise_hv_gain,5,1.627161669674404e-05,2.809969360757887e-10,1.676296322479378e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 1.8241672473111593e-05, 2.3709128811653102e-05, 3.9407282198955505e-05, 0.0]"
qwen_base,invalid_proposal_rate,5,0.021461609620721554,0.0006791044712257212,0.02605963298332732,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.06382978723404255, 0.021739130434782608, 0.0, 0.021739130434782608, 0.0]"
qwen_base,brier,0,,,,evaluation_seeds_5101_to_5105_fixed_adaptation,[]
random,final_hv,5,0.8810381812432553,2.471925282040232e-09,4.971846017366419e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8811260529752764, 0.8810117795428745, 0.8810117795428745, 0.8810117795428745, 0.8810295146123769]"
random,final_hv_gain,5,2.6401700380862535e-05,2.4719252820402317e-09,4.971846017366418e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.00011427343240189014, 0.0, 0.0, 0.0, 1.773506950242254e-05]"
random,mean_querywise_hv,5,0.8810298270553177,1.3886084907300584e-09,3.726403749904267e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810963418828515, 0.8810117795428739, 0.8810117795428739, 0.8810117795428739, 0.8810174547651155]"
random,mean_querywise_hv_gain,5,1.8047512443634783e-05,1.3886084907298977e-09,3.7264037499040515e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[8.45623399773987e-05, 0.0, 0.0, 0.0, 5.675222240775213e-06]"
random,invalid_proposal_rate,5,0.0,0.0,0.0,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 0.0, 0.0, 0.0, 0.0]"
random,brier,0,,,,evaluation_seeds_5101_to_5105_fixed_adaptation,[]
random_controller,final_hv,5,0.8810410933993242,3.959034146239648e-09,6.292085621031908e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810117795428745, 0.8810117795428745, 0.881016539114735, 0.8810117795428745, 0.8811535892532629]"
random_controller,final_hv_gain,5,2.931385644979745e-05,3.959034146239649e-09,6.292085621031908e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 0.0, 4.7595718605242254e-06, 0.0, 0.00014180971038846302]"
random_controller,mean_querywise_hv,5,0.8810232424592119,6.145052560088856e-10,2.47892165267256e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810117795428745, 0.8810117795428745, 0.8810133026058697, 0.8810117795428745, 0.8810675710615663]"
random_controller,mean_querywise_hv_gain,5,1.1462916337438679e-05,6.145052560081487e-10,2.478921652671074e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.0, 0.0, 1.523062995367752e-06, 0.0, 5.579151869182564e-05]"
random_controller,invalid_proposal_rate,5,0.024444444444444442,0.0004567901234567901,0.021372648957412605,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.05555555555555555, 0.03333333333333333, 0.011111111111111112, 0.0, 0.022222222222222223]"
random_controller,brier,0,,,,evaluation_seeds_5101_to_5105_fixed_adaptation,[]
