episode,seed,query_number,proposal_index,success,failure_code,graph_unavailable_type,risk,features_available,selected_and_executed,tau,equiv_pldn,conc_dfnb,temperature,executed_no_HVI,executed_HV_increment,source_relative_path,source_sha256
test_uq_esopt_5101,5101,6,0,True,,,0.7209227681159973,True,True,0.6,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query005_proposal0/candidate.json,bc403f8fc40d081ad80243b74d689095921987f03814df8e70bd2eb3879afc02
test_uq_esopt_5101,5101,6,1,True,,,0.778691291809082,True,False,0.6,4.5,0.45,55,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query005_proposal1/candidate.json,d853ba26bb66a493c66d7a7b3dc68e8d05fe308677c3e3468b88571b01183512
test_uq_esopt_5101,5101,7,0,True,,,0.573218047618866,True,False,0.65,5.0,0.5,32,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query006_proposal0/candidate.json,738077f851d63b601b71cd4a879cafd428d8eb84b3f82ed18d607485cfceb84c
test_uq_esopt_5101,5101,7,1,True,,,0.38526615500450134,True,True,0.6,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query006_proposal1/candidate.json,b5bce2c90bd349f3be74321684b8f2640a64899143795343ae6b62a1f0807c6a
test_uq_esopt_5101,5101,8,0,True,,,0.8701947927474976,True,False,0.5,5,0.5,30,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query007_proposal0/candidate.json,c703788f25d3b44599f2633e2fc0e167e791acf3d5dcdd83905571bb27ca0068
test_uq_esopt_5101,5101,8,1,True,,,0.16378673911094666,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query007_proposal1/candidate.json,c6f41280bfc498d4013768e239e2816365bdecb3bcdeea98f9870beb38d63110
test_uq_esopt_5101,5101,9,0,True,,,0.16824571788311005,True,True,1.2,3,0.45,65,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query008_proposal0/candidate.json,7629281132cbf4ff29a9d959bd9e4f3f71034e31f5f480dc47b36c4c04f80c83
test_uq_esopt_5101,5101,10,0,False,illegal_action,,,False,False,,,,,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query009_proposal0/candidate.json,34372b044d8cf5a1325fbc758306040a9b460004cf20e141935dd1494eb4c9d4
test_uq_esopt_5101,5101,10,1,True,,,0.21117138862609863,True,True,0.65,5,0.5,32,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query009_proposal1/candidate.json,26f608d137460b3c8e031e853b11818235f9d161253fa9a0ec8cb71a8e779089
test_uq_esopt_5101,5101,11,0,True,,,0.09153354167938232,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query010_proposal0/candidate.json,2cd9e155ccdbbbd81a94a168cfcc97bb361208157b8aeff22a66bfc33757981e
