population,row_index,episode,query_number,proposal_index,selected,risk,feature_vector_available,stored_keys,missing_model_columns,outside_train_range_columns,nonfinite_key_count,nonnumeric_key_count
train,0,collection_train_1101,,,,,True,285,0,0,0,0
train,1,collection_train_1101,,,,,True,285,0,0,0,0
train,2,collection_train_1101,,,,,True,285,0,0,0,0
train,3,collection_train_1101,,,,,True,285,0,0,0,0
train,4,collection_train_1101,,,,,True,285,0,0,0,0
train,5,collection_train_1101,,,,,True,285,0,0,0,0
train,6,collection_train_1101,,,,,True,285,0,0,0,0
train,7,collection_train_1101,,,,,True,285,0,0,0,0
train,8,collection_train_1101,,,,,True,285,0,0,0,0
train,9,collection_train_1101,,,,,True,285,0,0,0,0
train,10,collection_train_1101,,,,,True,285,0,0,0,0
train,11,collection_train_1101,,,,,True,285,0,0,0,0
train,12,collection_train_1101,,,,,True,285,0,0,0,0
train,13,collection_train_1101,,,,,True,285,0,0,0,0
train,14,collection_train_1101,,,,,True,285,0,0,0,0
train,15,collection_train_1101,,,,,True,285,0,0,0,0
train,16,collection_train_1101,,,,,True,285,0,0,0,0
train,17,collection_train_1101,,,,,True,285,0,0,0,0
train,18,collection_train_1101,,,,,True,285,0,0,0,0
train,19,collection_train_1101,,,,,True,285,0,0,0,0
train,20,collection_train_1101,,,,,True,285,0,0,0,0
train,21,collection_train_1101,,,,,True,285,0,0,0,0
train,22,collection_train_1101,,,,,True,285,0,0,0,0
train,23,collection_train_1101,,,,,True,285,0,0,0,0
train,24,collection_train_1101,,,,,True,285,0,0,0,0
train,25,collection_train_1102,,,,,True,285,0,0,0,0
train,26,collection_train_1102,,,,,True,285,0,0,0,0
train,27,collection_train_1102,,,,,True,285,0,0,0,0
train,28,collection_train_1102,,,,,True,285,0,0,0,0
train,29,collection_train_1102,,,,,True,285,0,0,0,0
train,30,collection_train_1102,,,,,True,285,0,0,0,0
train,31,collection_train_1102,,,,,True,285,0,0,0,0
train,32,collection_train_1102,,,,,True,285,0,0,0,0
train,33,collection_train_1102,,,,,True,285,0,0,0,0
train,34,collection_train_1102,,,,,True,285,0,0,0,0
train,35,collection_train_1102,,,,,True,285,0,0,0,0
train,36,collection_train_1102,,,,,True,285,0,0,0,0
train,37,collection_train_1102,,,,,True,285,0,0,0,0
train,38,collection_train_1102,,,,,True,285,0,0,0,0
train,39,collection_train_1102,,,,,True,285,0,0,0,0
train,40,collection_train_1102,,,,,True,285,0,0,0,0
train,41,collection_train_1102,,,,,True,285,0,0,0,0
train,42,collection_train_1102,,,,,True,285,0,0,0,0
train,43,collection_train_1102,,,,,True,285,0,0,0,0
train,44,collection_train_1102,,,,,True,285,0,0,0,0
train,45,collection_train_1102,,,,,True,285,0,0,0,0
train,46,collection_train_1102,,,,,True,285,0,0,0,0
train,47,collection_train_1102,,,,,True,285,0,0,0,0
train,48,collection_train_1102,,,,,True,285,0,0,0,0
train,49,collection_train_1102,,,,,True,285,0,0,0,0
train,50,collection_train_1103,,,,,True,285,0,0,0,0
train,51,collection_train_1103,,,,,True,285,0,0,0,0
train,52,collection_train_1103,,,,,True,285,0,0,0,0
train,53,collection_train_1103,,,,,True,285,0,0,0,0
train,54,collection_train_1103,,,,,True,285,0,0,0,0
train,55,collection_train_1103,,,,,True,285,0,0,0,0
train,56,collection_train_1103,,,,,True,285,0,0,0,0
train,57,collection_train_1103,,,,,True,285,0,0,0,0
train,58,collection_train_1103,,,,,True,285,0,0,0,0
train,59,collection_train_1103,,,,,True,285,0,0,0,0
train,60,collection_train_1103,,,,,True,285,0,0,0,0
train,61,collection_train_1103,,,,,True,285,0,0,0,0
train,62,collection_train_1103,,,,,True,285,0,0,0,0
train,63,collection_train_1103,,,,,True,285,0,0,0,0
train,64,collection_train_1103,,,,,True,285,0,0,0,0
train,65,collection_train_1103,,,,,True,285,0,0,0,0
train,66,collection_train_1103,,,,,True,285,0,0,0,0
train,67,collection_train_1103,,,,,True,285,0,0,0,0
train,68,collection_train_1103,,,,,True,285,0,0,0,0
train,69,collection_train_1103,,,,,True,285,0,0,0,0
train,70,collection_train_1103,,,,,True,285,0,0,0,0
train,71,collection_train_1103,,,,,True,285,0,0,0,0
train,72,collection_train_1103,,,,,True,285,0,0,0,0
train,73,collection_train_1103,,,,,True,285,0,0,0,0
train,74,collection_train_1103,,,,,True,285,0,0,0,0
dev,0,collection_dev_2101,,,,,True,285,0,27,0,0
dev,1,collection_dev_2101,,,,,True,285,0,36,0,0
dev,2,collection_dev_2101,,,,,True,285,0,1,0,0
dev,3,collection_dev_2101,,,,,True,285,0,0,0,0
dev,4,collection_dev_2101,,,,,True,285,0,1,0,0
dev,5,collection_dev_2101,,,,,True,285,0,0,0,0
dev,6,collection_dev_2101,,,,,True,285,0,0,0,0
dev,7,collection_dev_2101,,,,,True,285,0,4,0,0
dev,8,collection_dev_2101,,,,,True,285,0,1,0,0
dev,9,collection_dev_2101,,,,,True,285,0,0,0,0
dev,10,collection_dev_2101,,,,,True,285,0,0,0,0
dev,11,collection_dev_2101,,,,,True,285,0,0,0,0
dev,12,collection_dev_2101,,,,,True,285,0,3,0,0
dev,13,collection_dev_2101,,,,,True,285,0,0,0,0
dev,14,collection_dev_2101,,,,,True,285,0,5,0,0
dev,15,collection_dev_2101,,,,,True,285,0,0,0,0
dev,16,collection_dev_2101,,,,,True,285,0,7,0,0
dev,17,collection_dev_2101,,,,,True,285,0,1,0,0
dev,18,collection_dev_2101,,,,,True,285,0,6,0,0
