population,feature,family,finite_n,missing_rate,train_min,train_p25,train_p50,train_p75,train_max,target_min,target_p25,target_p50,target_p75,target_max,median_shift_in_training_IQR,outside_training_range_n,outside_training_range_rate_among_finite,constant_training_feature
dev,graph.activation_max,graph,50,0.0,6.879843235015869,7.823474407196045,8.186887741088867,8.555687427520752,10.386173248291016,6.632260322570801,7.8051289319992065,8.085540771484375,8.395129442214966,9.22197151184082,-0.1384118648416671,1,0.02,False
dev,graph.activation_mean,graph,50,0.0,6.692624409993489,7.260957309177943,7.438002872467041,7.699861749013265,8.400646209716797,6.5510077476501465,7.148779213428497,7.282238026460012,7.464937806129456,8.003759145736694,-0.3548946692484401,1,0.02,False
dev,graph.activation_missing,graph,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
dev,graph.activation_q50,graph,50,0.0,6.534737586975098,7.045977354049683,7.379246711730957,7.66068172454834,8.43862771987915,6.564239025115967,6.996246576309204,7.153021454811096,7.518479824066162,8.105449914932251,-0.36802285419956193,0,0.0,False
dev,graph.activation_q90,graph,50,0.0,6.842477321624756,7.694790196418762,8.064454364776612,8.263207721710206,9.835565376281739,6.626384496688843,7.689239966869354,7.8711401462554935,8.096547245979309,9.02539873123169,-0.3400919393222455,1,0.02,False
dev,graph.activation_q99,graph,50,0.0,6.876106643676758,7.811902914047241,8.17111415863037,8.544005966186523,10.331112461090088,6.631672739982605,7.793630917072296,8.070717182159424,8.36408819437027,9.148353443145751,-0.13713503335025887,1,0.02,False
dev,graph.activation_std,graph,50,0.0,0.0,0.3702107800870539,0.5234408813695781,0.6573177856540461,1.3383298070574934,0.0,0.3977165696610377,0.5435191749546284,0.6095635241441749,0.9304643359782454,0.06993313710823171,0,0.0,False
dev,graph.degree_max,graph,50,0.0,413.0,445.0,462.0,490.5,566.0,373.0,440.25,462.0,480.0,603.0,0.0,5,0.1,False
dev,graph.degree_mean,graph,50,0.0,2.131812420785805,3.9597723699246483,4.810752688172043,5.439000429790631,8.517967781908302,2.1275,4.596746981990897,5.365248248571724,5.969845204708486,7.163814180929095,0.37485467957518237,1,0.02,False
dev,graph.degree_std,graph,50,0.0,21.189120397136776,28.38649762695087,30.998353968190802,33.08902378121156,42.44514631187392,21.26984352904365,30.257579973433756,33.216166087926325,35.00251241566583,39.29716212643887,0.47162143217982766,0,0.0,False
dev,graph.density,graph,50,0.0,0.0012159537163951935,0.0023577314812156997,0.0026722826722826725,0.0033294598389032944,0.00528409912029051,0.001331351689612015,0.0024522057400444028,0.003162712782570379,0.0036159451105760524,0.004384219204974967,0.5046987734872477,0,0.0,False
dev,graph.edge_abs_effective_count,graph,50,0.0,63.735127305726955,151.91938808310016,194.4104572219177,240.4586867717731,408.307886177182,61.93079029685248,194.75347361919438,238.43721079293698,270.83742635432077,359.697110001492,0.4972566331909711,1,0.02,False
