episode,arm,seed,canonical_numeric_tuple,query_numbers,executions,repeated_executions,first_HV_increment,later_HV_increment_sum,all_objectives_numerically_equal
test_qwen_base_5101,qwen_base,5101,0.6|5|0.5|30,6;46;49,3,2,0.0,0.0,True
test_qwen_base_5101,qwen_base,5101,0.5|5|0.5|30,8;15;24;25;33;36;37;43;50,9,8,0.0,0.0,True
test_qwen_base_5101,qwen_base,5101,0.55|5|0.5|30,9;11;12;31;40;47,6,5,0.0,0.0,True
test_qwen_base_5101,qwen_base,5101,0.7|4.5|0.45|35,26;29,2,1,0.0,0.0,True
test_qwen_base_5101,qwen_base,5101,1.5|3|0.3|60,30;42,2,1,0.0,0.0,True
test_qwen_base_5102,qwen_base,5102,0.5|5|0.5|30,10;25;32;38;40;45;48;50,8,7,0.0,0.0,True
test_qwen_base_5102,qwen_base,5102,0.55|5|0.5|30,13;17;18;29;30;41;42,7,6,0.0,0.0,True
test_qwen_base_5102,qwen_base,5102,0.6|5|0.5|30,14;16,2,1,0.0,0.0,True
test_qwen_base_5102,qwen_base,5102,0.6|4.5|0.45|35,21;22,2,1,0.0,0.0,True
test_qwen_base_5102,qwen_base,5102,0.8|4.5|0.4|60,31;35,2,1,0.0,0.0,True
test_qwen_base_5103,qwen_base,5103,0.7|4.5|0.45|85,7;24,2,1,0.0,0.0,True
test_qwen_base_5103,qwen_base,5103,0.5|5|0.5|30,14;18;23;33;36;43;45;49;50,9,8,0.0,0.0,True
test_qwen_base_5103,qwen_base,5103,0.55|5|0.5|30,19;22;26;31;40;42,6,5,0.0,0.0,True
test_qwen_base_5104,qwen_base,5104,0.55|5|0.5|30,7;10;11;17;21;26;33;34;45;46,10,9,0.0,0.0,True
test_qwen_base_5104,qwen_base,5104,0.6|5|0.5|30,9;30,2,1,0.0,0.0,True
test_qwen_base_5104,qwen_base,5104,0.5|5|0.5|30,13;15;19;22;23;24;31;32;36;41;44;50,12,11,0.0,0.0,True
test_qwen_base_5104,qwen_base,5104,0.55|1.2|0.48|102,37;42,2,1,0.00014074029356769824,0.0,True
test_qwen_base_5105,qwen_base,5105,0.55|5|0.5|30,7;13;22;26;27;34,6,5,0.0,0.0,True
test_qwen_base_5105,qwen_base,5105,0.5|5|0.5|30,8;12;15;16;18;36;38;44;45;50,10,9,0.0,0.0,True
test_qwen_base_5105,qwen_base,5105,0.55|5|0.48|102,39;49,2,1,0.0,0.0,True
test_uq_esopt_5101,uq_esopt,5101,0.6|5|0.5|30,6;7;15;32,4,3,0.0,0.0,True
test_uq_esopt_5101,uq_esopt,5101,0.55|5|0.5|30,8;11;12;14;18;24;25;34;41,9,8,0.0,0.0,True
test_uq_esopt_5101,uq_esopt,5101,0.8|4|0.4|45,17;20,2,1,0.0,0.0,True
test_uq_esopt_5101,uq_esopt,5101,0.5|5|0.5|30,21;27;33;36;37;43;45;47;50,9,8,0.0,0.0,True
test_uq_esopt_5102,uq_esopt,5102,0.5|5|0.5|30,10;15;17;24;26;31;32;38;43;45;48;50,12,11,0.0,0.0,True
test_uq_esopt_5102,uq_esopt,5102,0.55|5|0.5|30,13;35;42,3,2,0.0,0.0,True
test_uq_esopt_5102,uq_esopt,5102,0.6|1.3|0.47|105,16;21,2,1,3.4252944525747786e-05,0.0,True
test_uq_esopt_5102,uq_esopt,5102,0.6|5|0.5|30,39;40,2,1,0.0,0.0,True
test_uq_esopt_5103,uq_esopt,5103,0.6|5|0.5|35,8;21,2,1,0.0,0.0,True
test_uq_esopt_5103,uq_esopt,5103,0.5|5|0.5|30,14;17;20;27;30;33;36;38;40;41;42;43,12,11,0.0,0.0,True
test_uq_esopt_5103,uq_esopt,5103,0.55|4.9|0.5|32,19;24,2,1,5.0333777603661645e-06,0.0,True
test_uq_esopt_5103,uq_esopt,5103,0.55|5|0.5|30,22;26;29,3,2,0.0,0.0,True
test_uq_esopt_5103,uq_esopt,5103,1|3|0.3|70,47;50,2,1,0.0,0.0,True
test_uq_esopt_5104,uq_esopt,5104,0.55|5|0.5|30,7;22;23;26,4,3,0.0,0.0,True
test_uq_esopt_5104,uq_esopt,5104,0.5|5|0.5|30,11;13;15;19;20;29;30;31;33;37;41;42;45;46;50,15,14,0.0,0.0,True
test_uq_esopt_5104,uq_esopt,5104,1.5|3|0.3|80,35;47,2,1,0.0,0.0,True
test_uq_esopt_5105,uq_esopt,5105,0.6|5|0.5|30,8;12;23,3,2,0.0,0.0,True
test_uq_esopt_5105,uq_esopt,5105,0.55|5|0.5|30,13;34;40;41,4,3,0.0,0.0,True
test_uq_esopt_5105,uq_esopt,5105,0.5|5|0.5|30,16;18;21;26;27;36;38;42;43,9,8,0.0,0.0,True
test_uq_esopt_5105,uq_esopt,5105,0.55|5|0.48|102,39;49,2,1,0.0,0.0,True
