arm,comparator,seed,final_gain_delta,final_gain_delta_micro,querywise_gain_delta,sign,first_improvement_arm,first_improvement_comparator
uq_esopt,qwen_base,5101,6.96435639324644e-06,6.96435639324644,6.96435639324644e-07,positive,46,
uq_esopt,qwen_base,5102,4.575910418824769e-05,45.75910418824769,4.83304784917915e-05,positive,11,33
uq_esopt,qwen_base,5103,-6.905764977604978e-05,-69.05764977604977,-2.0487767045018758e-05,negative,19,35
uq_esopt,qwen_base,5104,-0.00013570691580733207,-135.70691580733208,-3.527991243545525e-05,negative,10,37
uq_esopt,qwen_base,5105,0.0,0.0,0.0,tie,,
uq_esopt,gp_ei_scalarized,5101,-0.00018292626985894067,-182.92626985894066,-0.00013738140288392043,negative,46,6
uq_esopt,gp_ei_scalarized,5102,-0.0003358674458363575,-335.86744583635755,-0.0003107111847291888,negative,11,6
uq_esopt,gp_ei_scalarized,5103,-0.00040411136404550074,-404.11136404550075,-0.00023557040969586664,negative,19,7
uq_esopt,gp_ei_scalarized,5104,-0.00035643428477549755,-356.43428477549753,-0.00028474976376597684,negative,10,6
uq_esopt,gp_ei_scalarized,5105,-0.00044252090615770623,-442.52090615770624,-0.00039090780296539005,negative,,6
uq_esopt,random_controller,5101,6.96435639324644e-06,6.96435639324644,6.96435639324644e-07,positive,46,
uq_esopt,random_controller,5102,9.643041661355767e-05,96.43041661355767,6.65721509649031e-05,positive,11,
uq_esopt,random_controller,5103,2.7380589984193904e-07,0.27380589984193904,1.6982987712665932e-06,positive,19,35
uq_esopt,random_controller,5104,5.0333777603661645e-06,5.0333777603661645,4.1273697635002545e-06,positive,10,
uq_esopt,random_controller,5105,-0.00014180971038846302,-141.80971038846303,-5.579151869182564e-05,negative,,12
uq_only,qwen_base,5101,6.96435639324644e-06,6.96435639324644,6.96435639324644e-07,positive,46,
uq_only,qwen_base,5102,4.575910418824769e-05,45.75910418824769,4.83304784917915e-05,positive,11,33
uq_only,qwen_base,5103,-6.905764977604978e-05,-69.05764977604977,-2.0487767045018758e-05,negative,19,35
uq_only,qwen_base,5104,-0.00013570691580733207,-135.70691580733208,-3.527991243545525e-05,negative,10,37
uq_only,qwen_base,5105,0.0,0.0,0.0,tie,,
uq_only,gp_ei_scalarized,5101,-0.00018292626985894067,-182.92626985894066,-0.00013738140288392043,negative,46,6
uq_only,gp_ei_scalarized,5102,-0.0003358674458363575,-335.86744583635755,-0.0003107111847291888,negative,11,6
uq_only,gp_ei_scalarized,5103,-0.00040411136404550074,-404.11136404550075,-0.00023557040969586664,negative,19,7
uq_only,gp_ei_scalarized,5104,-0.00035643428477549755,-356.43428477549753,-0.00028474976376597684,negative,10,6
uq_only,gp_ei_scalarized,5105,-0.00044252090615770623,-442.52090615770624,-0.00039090780296539005,negative,,6
uq_only,random_controller,5101,6.96435639324644e-06,6.96435639324644,6.96435639324644e-07,positive,46,
uq_only,random_controller,5102,9.643041661355767e-05,96.43041661355767,6.65721509649031e-05,positive,11,
uq_only,random_controller,5103,2.7380589984193904e-07,0.27380589984193904,1.6982987712665932e-06,positive,19,35
uq_only,random_controller,5104,5.0333777603661645e-06,5.0333777603661645,4.1273697635002545e-06,positive,10,
uq_only,random_controller,5105,-0.00014180971038846302,-141.80971038846303,-5.579151869182564e-05,negative,,12
