name,arm,seed,final_HV_gain,mean_querywise_HV_gain,gain_B10_prefix,gain_B30_prefix,gain_B50,positive_HVI_queries,initial_LHS_positive_HVI_queries,first_improvement_query,last_improvement_query,last_improvement_to_end_queries,longest_no_HVI_run_queries,proposal_attempts,second_proposal_queries,invalid_proposals,risk_observations,Brier,valid_proposal_graph_fraction,missing_graph_valid_proposals,high_risk_first_proposal_trigger_lower_bound,high_risk_first_proposal_trigger_upper_bound,accepted_first_proposal_with_risk_below_0_5,low_risk_no_HVI_executions_lower_bound,raw_final_front_points,prior_share_of_absolute_final_HV
test_es_only_5101,es_only,5101,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,47,2,3,0,,,,,,,,3,1.0
test_es_only_5102,es_only,5102,5.067131242530998e-05,1.8241672473111593e-05,0.0,0.0,5.067131242530998e-05,1,0,33,33,17,32,46,1,1,0,,,,,,,,4,0.9999424883986644
test_es_only_5103,es_only,5103,7.409102753641594e-05,2.3709128811653102e-05,0.0,0.0,7.409102753641594e-05,1,0,35,35,15,34,45,0,0,0,,,,,,,,4,0.9999159094135871
test_es_only_5104,es_only,5104,0.00014074029356769824,3.9407282198955505e-05,0.0,0.0,0.00014074029356769824,1,0,37,37,13,36,46,1,1,0,,,,,,,,3,0.9998402770344528
test_es_only_5105,es_only,5105,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,45,0,0,0,,,,,,,,3,1.0
test_gp_ei_scalarized_5101,gp_ei_scalarized,5101,0.0001898906262521871,0.00013807783852324507,0.0001185905240191909,0.00018974797027138113,0.0001898906262521871,3,0,6,38,12,22,0,,0,0,,,,,,,,4,0.9997845094571646
test_gp_ei_scalarized_5102,gp_ei_scalarized,5102,0.0004322978624499152,0.0003772833356940919,0.00042699735502671476,0.0004322978624499152,0.0004322978624499152,4,0,6,30,20,20,0,,0,0,,,,,,,,4,0.9995095572441505
test_gp_ei_scalarized_5103,gp_ei_scalarized,5103,0.0004091447418058669,0.00023879177146250098,0.00014726483701044124,0.0001980320722883011,0.0004091447418058669,7,0,7,33,17,17,0,,0,0,,,,,,,,2,0.999535812311084
test_gp_ei_scalarized_5104,gp_ei_scalarized,5104,0.0003614676625358637,0.00028887713352947707,0.0002544703781598434,0.0003614676625358637,0.0003614676625358637,6,0,6,19,31,31,0,,0,0,,,,,,,,2,0.9995898812861839
test_gp_ei_scalarized_5105,gp_ei_scalarized,5105,0.00044252090615770623,0.00039090780296539005,0.0004316958876627863,0.0004316958876627863,0.00044252090615770623,2,0,6,40,10,33,0,,0,0,,,,,,,,3,0.9994979650040481
test_qwen_base_5101,qwen_base,5101,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,47,2,3,0,,,,,,,,3,1.0
test_qwen_base_5102,qwen_base,5102,5.067131242530998e-05,1.8241672473111593e-05,0.0,0.0,5.067131242530998e-05,1,0,33,33,17,32,46,1,1,0,,,,,,,,4,0.9999424883986644
test_qwen_base_5103,qwen_base,5103,7.409102753641594e-05,2.3709128811653102e-05,0.0,0.0,7.409102753641594e-05,1,0,35,35,15,34,45,0,0,0,,,,,,,,4,0.9999159094135871
test_qwen_base_5104,qwen_base,5104,0.00014074029356769824,3.9407282198955505e-05,0.0,0.0,0.00014074029356769824,1,0,37,37,13,36,46,1,1,0,,,,,,,,3,0.9998402770344528
test_qwen_base_5105,qwen_base,5105,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,45,0,0,0,,,,,,,,3,1.0
test_random_5101,random,5101,0.00011427343240189014,8.45623399773987e-05,0.0,0.00011427343240189014,0.00011427343240189014,1,0,14,14,36,36,0,,0,0,,,,,,,,4,0.9998703097791558
test_random_5102,random,5102,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,0,,0,0,,,,,,,,3,1.0
test_random_5103,random,5103,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,0,,0,0,,,,,,,,3,1.0
test_random_5104,random,5104,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,0,,0,0,,,,,,,,3,1.0
test_random_5105,random,5105,1.773506950242254e-05,5.675222240775213e-06,0.0,0.0,1.773506950242254e-05,1,0,35,35,15,34,0,,0,0,,,,,,,,4,0.9999798700620033
test_random_controller_5101,random_controller,5101,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,90,45,5,0,,,,,,,,3,1.0
test_random_controller_5102,random_controller,5102,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,90,45,3,0,,,,,,,,3,1.0
test_random_controller_5103,random_controller,5103,4.7595718605242254e-06,1.523062995367752e-06,0.0,0.0,4.7595718605242254e-06,1,0,35,35,15,34,90,45,1,0,,,,,,,,4,0.9999945976361972
test_random_controller_5104,random_controller,5104,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,90,45,0,0,,,,,,,,3,1.0
test_random_controller_5105,random_controller,5105,0.00014180971038846302,5.579151869182564e-05,0.0,4.7595718605242254e-06,0.00014180971038846302,2,0,12,32,18,19,90,45,2,0,,,,,,,,4,0.9998390635728912
test_uq_esopt_5101,uq_esopt,5101,6.96435639324644e-06,6.96435639324644e-07,0.0,0.0,6.96435639324644e-06,1,0,46,46,4,45,50,5,2,45,0.7266795908695955,1.0,0,3,5,40,39,4,0.999992095109847
test_uq_esopt_5102,uq_esopt,5102,9.643041661355767e-05,6.65721509649031e-05,0.0,9.643041661355767e-05,9.643041661355767e-05,3,0,11,18,32,32,51,6,2,45,0.6155525389568062,1.0,0,4,6,39,36,5,0.9998905578049058
test_uq_esopt_5103,uq_esopt,5103,5.0333777603661645e-06,3.2213617666343453e-06,0.0,5.0333777603661645e-06,5.0333777603661645e-06,1,0,19,19,31,31,50,5,2,45,0.6784697839626646,1.0,0,3,5,40,39,4,0.9999942868539096
test_uq_esopt_5104,uq_esopt,5104,5.0333777603661645e-06,4.1273697635002545e-06,5.0333777603661645e-06,5.0333777603661645e-06,5.0333777603661645e-06,1,0,10,10,40,40,47,2,0,45,0.7010536015273702,1.0,0,2,2,43,42,4,0.9999942868539096
test_uq_esopt_5105,uq_esopt,5105,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,50,5,2,44,0.6672153945045053,0.9791666666666666,1,2,5,40,40,3,1.0
test_uq_only_5101,uq_only,5101,6.96435639324644e-06,6.96435639324644e-07,0.0,0.0,6.96435639324644e-06,1,0,46,46,4,45,50,5,2,45,0.7266795908695955,1.0,0,3,5,40,39,4,0.999992095109847
test_uq_only_5102,uq_only,5102,9.643041661355767e-05,6.65721509649031e-05,0.0,9.643041661355767e-05,9.643041661355767e-05,3,0,11,18,32,32,51,6,2,45,0.6155525389568062,1.0,0,4,6,39,36,5,0.9998905578049058
test_uq_only_5103,uq_only,5103,5.0333777603661645e-06,3.2213617666343453e-06,0.0,5.0333777603661645e-06,5.0333777603661645e-06,1,0,19,19,31,31,50,5,2,45,0.6784697839626646,1.0,0,3,5,40,39,4,0.9999942868539096
test_uq_only_5104,uq_only,5104,5.0333777603661645e-06,4.1273697635002545e-06,5.0333777603661645e-06,5.0333777603661645e-06,5.0333777603661645e-06,1,0,10,10,40,40,47,2,0,45,0.7010536015273702,1.0,0,2,2,43,42,4,0.9999942868539096
test_uq_only_5105,uq_only,5105,0.0,0.0,0.0,0.0,0.0,0,0,,,50,50,50,5,2,44,0.6672153945045053,0.9791666666666666,1,2,5,40,40,3,1.0
