arm,metric,evaluation_seeds,complete_three_seeds,n,mean,sample_variance_ddof1,SD
uq_esopt,final_hv_gain,5201,False,1,0.0,,
uq_esopt,mean_querywise_hv_gain,5201,False,1,0.0,,
uq_esopt,brier,5201,False,1,0.731628809501768,,
uq_only,final_hv_gain,,False,0,,,
uq_only,mean_querywise_hv_gain,,False,0,,,
uq_only,brier,,False,0,,,
qwen_base,final_hv_gain,,False,0,,,
qwen_base,mean_querywise_hv_gain,,False,0,,,
qwen_base,brier,,False,0,,,
es_only,final_hv_gain,,False,0,,,
es_only,mean_querywise_hv_gain,,False,0,,,
es_only,brier,,False,0,,,
