family,NN_seed,calibration,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
all,1729,raw,all,0,0.0,0.1,False,114,0.05562056370667721,0.9473684210526315
all,1729,raw,all,1,0.1,0.2,False,62,0.14379853394723707,1.0
all,1729,raw,all,2,0.2,0.3,False,18,0.2363775008254581,1.0
all,1729,raw,all,3,0.3,0.4,False,12,0.35852667689323425,1.0
all,1729,raw,all,4,0.4,0.5,False,8,0.45600445196032524,1.0
all,1729,raw,all,5,0.5,0.6,False,3,0.5538403987884521,1.0
all,1729,raw,all,6,0.6,0.7,False,3,0.6361571351687113,1.0
all,1729,raw,all,7,0.7,0.8,False,4,0.7443459182977676,1.0
all,1729,raw,all,8,0.8,0.9,False,0,,
all,1729,raw,all,9,0.9,1.0,True,0,,
all,1729,raw,5101,0,0.0,0.1,False,29,0.05510040764407865,0.9655172413793104
all,1729,raw,5101,1,0.1,0.2,False,9,0.14332969072792265,1.0
all,1729,raw,5101,2,0.2,0.3,False,3,0.2330173005660375,1.0
all,1729,raw,5101,3,0.3,0.4,False,2,0.3361314684152603,1.0
all,1729,raw,5101,4,0.4,0.5,False,1,0.43772202730178833,1.0
all,1729,raw,5101,5,0.5,0.6,False,0,,
all,1729,raw,5101,6,0.6,0.7,False,0,,
all,1729,raw,5101,7,0.7,0.8,False,1,0.7501378655433655,1.0
all,1729,raw,5101,8,0.8,0.9,False,0,,
all,1729,raw,5101,9,0.9,1.0,True,0,,
all,1729,raw,5102,0,0.0,0.1,False,20,0.06602198127657175,0.85
all,1729,raw,5102,1,0.1,0.2,False,13,0.14710731861683038,1.0
all,1729,raw,5102,2,0.2,0.3,False,7,0.24675840139389038,1.0
all,1729,raw,5102,3,0.3,0.4,False,2,0.3315078616142273,1.0
all,1729,raw,5102,4,0.4,0.5,False,0,,
all,1729,raw,5102,5,0.5,0.6,False,1,0.5264437198638916,1.0
all,1729,raw,5102,6,0.6,0.7,False,1,0.6802562475204468,1.0
all,1729,raw,5102,7,0.7,0.8,False,1,0.7246468663215637,1.0
all,1729,raw,5102,8,0.8,0.9,False,0,,
all,1729,raw,5102,9,0.9,1.0,True,0,,
all,1729,raw,5103,0,0.0,0.1,False,23,0.054141054982724396,0.9565217391304348
all,1729,raw,5103,1,0.1,0.2,False,13,0.1377716362476349,1.0
all,1729,raw,5103,2,0.2,0.3,False,3,0.26743105550607044,1.0
all,1729,raw,5103,3,0.3,0.4,False,2,0.38935117423534393,1.0
all,1729,raw,5103,4,0.4,0.5,False,1,0.44631773233413696,1.0
all,1729,raw,5103,5,0.5,0.6,False,1,0.5445938110351562,1.0
all,1729,raw,5103,6,0.6,0.7,False,0,,
all,1729,raw,5103,7,0.7,0.8,False,2,0.7512994706630707,1.0
all,1729,raw,5103,8,0.8,0.9,False,0,,
all,1729,raw,5103,9,0.9,1.0,True,0,,
all,1729,raw,5104,0,0.0,0.1,False,22,0.048461353914304214,0.9545454545454546
all,1729,raw,5104,1,0.1,0.2,False,16,0.14792390447109938,1.0
all,1729,raw,5104,2,0.2,0.3,False,2,0.20076313614845276,1.0
all,1729,raw,5104,3,0.3,0.4,False,2,0.37781405448913574,1.0
all,1729,raw,5104,4,0.4,0.5,False,1,0.42530521750450134,1.0
all,1729,raw,5104,5,0.5,0.6,False,1,0.5904836654663086,1.0
all,1729,raw,5104,6,0.6,0.7,False,1,0.6108513474464417,1.0
all,1729,raw,5104,7,0.7,0.8,False,0,,
all,1729,raw,5104,8,0.8,0.9,False,0,,
all,1729,raw,5104,9,0.9,1.0,True,0,,
all,1729,raw,5105,0,0.0,0.1,False,20,0.05554993823170662,1.0
all,1729,raw,5105,1,0.1,0.2,False,11,0.14139390940015967,1.0
all,1729,raw,5105,2,0.2,0.3,False,3,0.2082049548625946,1.0
all,1729,raw,5105,3,0.3,0.4,False,4,0.3581777513027191,1.0
all,1729,raw,5105,4,0.4,0.5,False,5,0.46773812770843504,1.0
all,1729,raw,5105,5,0.5,0.6,False,0,,
all,1729,raw,5105,6,0.6,0.7,False,1,0.6173638105392456,1.0
all,1729,raw,5105,7,0.7,0.8,False,0,,
all,1729,raw,5105,8,0.8,0.9,False,0,,
all,1729,raw,5105,9,0.9,1.0,True,0,,
all,1729,calibrated,all,0,0.0,0.1,False,90,0.07013080823752615,0.9444444444444444
all,1729,calibrated,all,1,0.1,0.2,False,73,0.14823844610419992,0.9863013698630136
all,1729,calibrated,all,2,0.2,0.3,False,26,0.2312247334764554,1.0
all,1729,calibrated,all,3,0.3,0.4,False,13,0.34374350080123317,1.0
all,1729,calibrated,all,4,0.4,0.5,False,12,0.44402598589658737,1.0
all,1729,calibrated,all,5,0.5,0.6,False,4,0.5589474588632584,1.0
all,1729,calibrated,all,6,0.6,0.7,False,3,0.6522273818651835,1.0
all,1729,calibrated,all,7,0.7,0.8,False,3,0.7216461102167765,1.0
all,1729,calibrated,all,8,0.8,0.9,False,0,,
all,1729,calibrated,all,9,0.9,1.0,True,0,,
all,1729,calibrated,5101,0,0.0,0.1,False,24,0.07118833903223276,0.9583333333333334
all,1729,calibrated,5101,1,0.1,0.2,False,12,0.14426645760734877,1.0
all,1729,calibrated,5101,2,0.2,0.3,False,4,0.22389337420463562,1.0
all,1729,calibrated,5101,3,0.3,0.4,False,3,0.3415004213651021,1.0
all,1729,calibrated,5101,4,0.4,0.5,False,1,0.4461655914783478,1.0
all,1729,calibrated,5101,5,0.5,0.6,False,0,,
all,1729,calibrated,5101,6,0.6,0.7,False,0,,
all,1729,calibrated,5101,7,0.7,0.8,False,1,0.7209227681159973,1.0
all,1729,calibrated,5101,8,0.8,0.9,False,0,,
all,1729,calibrated,5101,9,0.9,1.0,True,0,,
all,1729,calibrated,5102,0,0.0,0.1,False,15,0.08414525811870893,0.8
all,1729,calibrated,5102,1,0.1,0.2,False,14,0.1457325198820659,1.0
all,1729,calibrated,5102,2,0.2,0.3,False,9,0.24063763353559706,1.0
all,1729,calibrated,5102,3,0.3,0.4,False,4,0.33376825600862503,1.0
all,1729,calibrated,5102,4,0.4,0.5,False,0,,
all,1729,calibrated,5102,5,0.5,0.6,False,1,0.5228337645530701,1.0
all,1729,calibrated,5102,6,0.6,0.7,False,2,0.6774411499500275,1.0
all,1729,calibrated,5102,7,0.7,0.8,False,0,,
all,1729,calibrated,5102,8,0.8,0.9,False,0,,
all,1729,calibrated,5102,9,0.9,1.0,True,0,,
all,1729,calibrated,5103,0,0.0,0.1,False,19,0.06930183325158923,0.9473684210526315
all,1729,calibrated,5103,1,0.1,0.2,False,16,0.15271031903102994,1.0
all,1729,calibrated,5103,2,0.2,0.3,False,2,0.23773782700300217,1.0
all,1729,calibrated,5103,3,0.3,0.4,False,2,0.31974197924137115,1.0
all,1729,calibrated,5103,4,0.4,0.5,False,3,0.42058783769607544,1.0
all,1729,calibrated,5103,5,0.5,0.6,False,1,0.5385228991508484,1.0
all,1729,calibrated,5103,6,0.6,0.7,False,0,,
all,1729,calibrated,5103,7,0.7,0.8,False,2,0.7220077812671661,1.0
all,1729,calibrated,5103,8,0.8,0.9,False,0,,
all,1729,calibrated,5103,9,0.9,1.0,True,0,,
all,1729,calibrated,5104,0,0.0,0.1,False,18,0.06237971596419811,1.0
all,1729,calibrated,5104,1,0.1,0.2,False,17,0.1584794473122148,0.9411764705882353
all,1729,calibrated,5104,2,0.2,0.3,False,5,0.21698140501976013,1.0
all,1729,calibrated,5104,3,0.3,0.4,False,1,0.37447524070739746,1.0
all,1729,calibrated,5104,4,0.4,0.5,False,2,0.42437805235385895,1.0
all,1729,calibrated,5104,5,0.5,0.6,False,2,0.5872165858745575,1.0
all,1729,calibrated,5104,6,0.6,0.7,False,0,,
all,1729,calibrated,5104,7,0.7,0.8,False,0,,
all,1729,calibrated,5104,8,0.8,0.9,False,0,,
all,1729,calibrated,5104,9,0.9,1.0,True,0,,
all,1729,calibrated,5105,0,0.0,0.1,False,14,0.0643931438348123,1.0
all,1729,calibrated,5105,1,0.1,0.2,False,14,0.13660272051181113,1.0
all,1729,calibrated,5105,2,0.2,0.3,False,6,0.23169136544068655,1.0
