feature,family,cohort,n,train_mean,train_std,normalizer_std,std_floor_applied,mean,standardized_mean,max_abs_z,outside_train_range,abs_z_above3,abs_z_above5
graph.activation_max,graph,dev,50,8.245211232503255,0.6796557435094005,0.6796557435094005,False,8.044701509475708,-0.2950165947133997,2.3731880813718824,1,0,0
graph.activation_max,graph,train,75,8.245211232503255,0.6796557435094005,0.6796557435094005,False,8.245211232503255,7.444276676575138e-17,3.150068304775752,0,1,0
graph.activation_max,graph,all_scored_candidates,239,8.245211232503255,0.6796557435094005,0.6796557435094005,False,8.69828786012019,0.6666266443618584,7.058751510719662,34,25,20
graph.activation_max,graph,selected,224,8.245211232503255,0.6796557435094005,0.6796557435094005,False,8.743020406791143,0.7324431214506488,7.058751510719662,32,25,20
graph.activation_max,graph,first_scored,219,8.245211232503255,0.6796557435094005,0.6796557435094005,False,8.681168199129845,0.641437920285242,7.058751510719662,29,21,16
graph.activation_mean,graph,dev,50,7.485324392137073,0.3651202200733402,0.3651202200733402,False,7.325292966161455,-0.43829790073930464,2.5589287941907313,1,0,0
graph.activation_mean,graph,train,75,7.485324392137073,0.3651202200733402,0.3651202200733402,False,7.485324392137073,-3.728498991032817e-17,2.506905307506296,0,0,0
graph.activation_mean,graph,all_scored_candidates,239,7.485324392137073,0.3651202200733402,0.3651202200733402,False,7.576349125107486,0.24930071786254016,6.725735258824782,30,13,4
graph.activation_mean,graph,selected,224,7.485324392137073,0.3651202200733402,0.3651202200733402,False,7.602216443275851,0.3201467481458524,6.725735258824782,28,13,4
graph.activation_mean,graph,first_scored,219,7.485324392137073,0.3651202200733402,0.3651202200733402,False,7.580520573409388,0.2607255803395195,6.725735258824782,27,11,4
graph.activation_missing,graph,dev,50,0.0,0.0,1.0,True,0.0,0.0,0.0,0,0,0
graph.activation_missing,graph,train,75,0.0,0.0,1.0,True,0.0,0.0,0.0,0,0,0
graph.activation_missing,graph,all_scored_candidates,239,0.0,0.0,1.0,True,0.0,0.0,0.0,0,0,0
graph.activation_missing,graph,selected,224,0.0,0.0,1.0,True,0.0,0.0,0.0,0,0,0
graph.activation_missing,graph,first_scored,219,0.0,0.0,1.0,True,0.0,0.0,0.0,0,0,0
graph.activation_q50,graph,dev,50,7.381662359237671,0.41376001127503154,0.41376001127503154,False,7.248902826309204,-0.3208611980634834,1.9755977181138287,0,0,0
graph.activation_q50,graph,train,75,7.381662359237671,0.41376001127503154,0.41376001127503154,False,7.381662359237671,-5.214925713481478e-16,2.554537248257423,0,0,0
graph.activation_q50,graph,all_scored_candidates,239,7.381662359237671,0.41376001127503154,0.41376001127503154,False,7.4088894233544,0.0658040008091332,5.718067512888472,12,7,1
graph.activation_q50,graph,selected,224,7.381662359237671,0.41376001127503154,0.41376001127503154,False,7.427933997341564,0.11183206893605836,5.718067512888472,12,7,1
graph.activation_q50,graph,first_scored,219,7.381662359237671,0.41376001127503154,0.41376001127503154,False,7.42805181137503,0.1121168089550426,5.718067512888472,12,7,1
graph.activation_q90,graph,dev,50,8.062553998947143,0.592817220762437,0.592817220762437,False,7.87433442401886,-0.31750018106122047,2.422617717500188,1,0,0
graph.activation_q90,graph,train,75,8.062553998947143,0.592817220762437,0.592817220762437,False,8.062553998947143,8.378945685431442e-16,2.9908229977770917,0,0,0
graph.activation_q90,graph,all_scored_candidates,239,8.062553998947143,0.592817220762437,0.592817220762437,False,8.40093788003323,0.5708064294267341,6.964722165653287,34,24,11
graph.activation_q90,graph,selected,224,8.062553998947143,0.592817220762437,0.592817220762437,False,8.446374371009213,0.6474514548825515,6.964722165653287,32,24,11
graph.activation_q90,graph,first_scored,219,8.062553998947143,0.592817220762437,0.592817220762437,False,8.391236046568988,0.5544407890160797,6.964722165653287,29,20,8
graph.activation_q99,graph,dev,50,8.226945509147644,0.6696431086169945,0.6696431086169945,False,8.027664800930022,-0.29759241251536594,2.38227310732688,1,0,0
graph.activation_q99,graph,train,75,8.226945509147644,0.6696431086169945,0.6696431086169945,False,8.226945509147644,2.9513428737952077e-16,3.1422214682208165,0,1,0
graph.activation_q99,graph,all_scored_candidates,239,8.226945509147644,0.6696431086169945,0.6696431086169945,False,8.668552862111495,0.6594667327733678,7.0627258553103305,34,25,20
graph.activation_q99,graph,selected,224,8.226945509147644,0.6696431086169945,0.6696431086169945,False,8.713355803212949,0.726372433026127,7.0627258553103305,32,25,20
