family,seed,selected_epoch,optimizer_steps,temperature,dev_mean_p,test_mean_p,dev_brier,test_brier,raw_to_cal_threshold_changes
all,1729,44,59,1.1583745448370817,0.8674838519096375,0.17544379477788294,0.09714217760705708,0.6778414086939191,0
all,1730,40,55,1.098502737965185,0.8614483511447907,0.14680858370931155,0.09754196814868471,0.7296509550147086,0
all,1731,42,57,1.2408459458039311,0.8576469838619232,0.39827005684907946,0.10014990807545977,0.37922458575505624,0
sampling,1729,57,72,0.9877378178091817,0.9039364278316497,0.9496452108557735,0.08621083946010351,0.027128318972157377,0
sampling,1730,60,75,0.9928304702350328,0.9061482048034668,0.9372717650341136,0.0855375844319326,0.029004680410801526,0
sampling,1731,53,68,0.9890215732569071,0.9050578331947327,0.9466437410031047,0.08351800332166917,0.027632432814229002,0
hidden,1729,40,55,1.1270110597140006,0.8834450399875641,0.41015384612338884,0.09208412825635215,0.35375439430559397,0
hidden,1730,42,57,1.1062361514311063,0.8863981795310975,0.32022462539108737,0.09134223135954259,0.48290464555026,0
hidden,1731,47,62,1.1917204360271745,0.8842281293869019,0.32904728947739514,0.09230266838209303,0.44979813953740877,0
graph,1729,47,62,0.9464811503913474,0.8769788014888763,0.9213656125856298,0.09612956200662559,0.04192738971474245,0
graph,1730,48,63,0.9114808897175244,0.8878435277938843,0.9166228340140411,0.09169046077615504,0.040988219129692575,0
graph,1731,46,61,0.9480263011418815,0.8721460449695587,0.8841763291774052,0.09816890115836678,0.0504045136507422,0
