cohort,family,features,cells,outside_train_range_cells,abs_z_above3_cells,abs_z_above5_cells,max_abs_z,std_floor_features
dev,sampling,4,200,2,0,0,2.99031824971267,0
dev,hidden,128,6400,153,11,0,3.6751544660006235,0
dev,graph,153,7650,28,14,3,8.663506104815129,103
train,sampling,4,300,0,0,0,2.7263375184541925,0
train,hidden,128,9600,0,4,0,3.121661329135472,0
train,graph,153,11475,0,61,12,7.171931181632911,103
all_scored_candidates,sampling,4,956,91,8,1,5.097383339141049,0
all_scored_candidates,hidden,128,30592,4720,2004,364,9.164951404221743,0
all_scored_candidates,graph,153,36567,704,728,249,17.56436854126903,103
selected,sampling,4,896,83,8,1,5.097383339141049,0
selected,hidden,128,28672,4360,1866,350,9.164951404221743,0
selected,graph,153,34272,605,626,206,17.56436854126903,103
first_scored,sampling,4,876,85,8,1,5.097383339141049,0
first_scored,hidden,128,28032,4273,1838,343,9.085963281462828,0
first_scored,graph,153,33507,614,630,212,17.56436854126903,103
