NN_seed,calibration,population,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
1729,raw,selected_test,all,0,0.0,0.1,False,0,,
1729,raw,selected_test,all,1,0.1,0.2,False,0,,
1729,raw,selected_test,all,2,0.2,0.3,False,44,0.28639695048332214,0.9318181818181818
1729,raw,selected_test,all,3,0.3,0.4,False,147,0.3233333769298735,0.9863945578231292
1729,raw,selected_test,all,4,0.4,0.5,False,9,0.4409109055995941,0.8888888888888888
1729,raw,selected_test,all,5,0.5,0.6,False,2,0.5662397146224976,1.0
1729,raw,selected_test,all,6,0.6,0.7,False,4,0.6780960857868195,1.0
1729,raw,selected_test,all,7,0.7,0.8,False,7,0.7487786752837045,1.0
1729,raw,selected_test,all,8,0.8,0.9,False,11,0.8421901301904158,1.0
1729,raw,selected_test,all,9,0.9,1.0,True,0,,
1729,raw,development,all,0,0.0,0.1,False,0,,
1729,raw,development,all,1,0.1,0.2,False,0,,
1729,raw,development,all,2,0.2,0.3,False,0,,
1729,raw,development,all,3,0.3,0.4,False,0,,
1729,raw,development,all,4,0.4,0.5,False,0,,
1729,raw,development,all,5,0.5,0.6,False,0,,
1729,raw,development,all,6,0.6,0.7,False,2,0.6548027098178864,1.0
1729,raw,development,all,7,0.7,0.8,False,1,0.7402990460395813,1.0
1729,raw,development,all,8,0.8,0.9,False,11,0.8537935777143999,0.8181818181818182
1729,raw,development,all,9,0.9,1.0,True,36,0.9416200485494401,0.9166666666666666
1729,raw,selected_test,5101,0,0.0,0.1,False,0,,
1729,raw,selected_test,5101,1,0.1,0.2,False,0,,
1729,raw,selected_test,5101,2,0.2,0.3,False,9,0.28996769587198895,1.0
1729,raw,selected_test,5101,3,0.3,0.4,False,32,0.32494194712489843,0.96875
1729,raw,selected_test,5101,4,0.4,0.5,False,0,,
1729,raw,selected_test,5101,5,0.5,0.6,False,1,0.5642223358154297,1.0
1729,raw,selected_test,5101,6,0.6,0.7,False,0,,
1729,raw,selected_test,5101,7,0.7,0.8,False,1,0.7715049982070923,1.0
1729,raw,selected_test,5101,8,0.8,0.9,False,2,0.8662222623825073,1.0
1729,raw,selected_test,5101,9,0.9,1.0,True,0,,
1729,raw,selected_test,5102,0,0.0,0.1,False,0,,
1729,raw,selected_test,5102,1,0.1,0.2,False,0,,
1729,raw,selected_test,5102,2,0.2,0.3,False,10,0.28711782693862914,0.8
1729,raw,selected_test,5102,3,0.3,0.4,False,29,0.3235486129234577,0.9655172413793104
1729,raw,selected_test,5102,4,0.4,0.5,False,1,0.4104039669036865,1.0
1729,raw,selected_test,5102,5,0.5,0.6,False,0,,
1729,raw,selected_test,5102,6,0.6,0.7,False,1,0.6829460263252258,1.0
1729,raw,selected_test,5102,7,0.7,0.8,False,3,0.7778531908988953,1.0
1729,raw,selected_test,5102,8,0.8,0.9,False,1,0.8218136429786682,1.0
1729,raw,selected_test,5102,9,0.9,1.0,True,0,,
1729,raw,selected_test,5103,0,0.0,0.1,False,0,,
1729,raw,selected_test,5103,1,0.1,0.2,False,0,,
1729,raw,selected_test,5103,2,0.2,0.3,False,9,0.29168365399042767,0.8888888888888888
1729,raw,selected_test,5103,3,0.3,0.4,False,26,0.3241847042854016,1.0
1729,raw,selected_test,5103,4,0.4,0.5,False,5,0.43728203773498536,1.0
1729,raw,selected_test,5103,5,0.5,0.6,False,0,,
1729,raw,selected_test,5103,6,0.6,0.7,False,0,,
1729,raw,selected_test,5103,7,0.7,0.8,False,2,0.7149020135402679,1.0
1729,raw,selected_test,5103,8,0.8,0.9,False,3,0.8391952117284139,1.0
1729,raw,selected_test,5103,9,0.9,1.0,True,0,,
1729,raw,selected_test,5104,0,0.0,0.1,False,0,,
1729,raw,selected_test,5104,1,0.1,0.2,False,0,,
1729,raw,selected_test,5104,2,0.2,0.3,False,7,0.2878094060080392,1.0
1729,raw,selected_test,5104,3,0.3,0.4,False,33,0.3213685769023317,1.0
