family,NN_seed,calibration,n,error_rate,auroc,error_auprc,brier,nll,ece,risk_coverage_auc,overconfident_error_rate_p_le_0_1,threshold,at_or_above_fixed_threshold
sampling_hidden,1729,raw,224,0.9732142857142857,0.7224770642201835,0.9859082557929691,0.41093193043867055,1.030835812694274,0.6051335878936307,0.9472324201497518,0.0,0.5,24
original_all,1729,raw,224,0.9732142857142857,0.7912844036697247,0.9932212023386658,0.7183898521690969,2.1849139418922205,0.8213893732338744,0.9496859098497863,0.48214285714285715,0.5,10
sampling_hidden,1729,calibrated,224,0.9732142857142857,0.7224770642201835,0.9859082557929691,0.38837216762126603,0.979827935838885,0.5894600570734058,0.9472324201497518,0.0,0.5,24
original_all,1729,calibrated,224,0.9732142857142857,0.7912844036697247,0.9932212023386658,0.677841408693919,1.937815070362525,0.7977704909364028,0.9496859098497863,0.3794642857142857,0.5,10
sampling_hidden,1730,raw,224,0.9732142857142857,0.7155963302752294,0.9873306462222545,0.6745258534466486,1.8704788462383497,0.7927552851781782,0.9514957416086594,0.21428571428571427,0.5,17
original_all,1730,raw,224,0.9732142857142857,0.8081039755351682,0.9938034195437228,0.7527003356390262,2.4695539609392982,0.8392279975981052,0.9472285811296162,0.6071428571428571,0.5,13
sampling_hidden,1730,calibrated,224,0.9732142857142857,0.7155963302752294,0.9873306462222545,0.6547419589597762,1.778332117266652,0.7812017235306224,0.9514957416086594,0.10714285714285714,0.5,17
original_all,1730,calibrated,224,0.9732142857142857,0.8081039755351682,0.9938034195437228,0.7296509550147086,2.2765428324331616,0.8264057020049741,0.9472285811296162,0.5401785714285714,0.5,13
sampling_hidden,1731,raw,224,0.9732142857142857,0.713302752293578,0.986882639239137,0.6201643597984428,1.6418066143886743,0.7590931401521499,0.9437349518961315,0.03125,0.5,18
original_all,1731,raw,224,0.9732142857142857,0.6987767584097859,0.9873432671254151,0.41555427144043827,1.0517420269293312,0.5981173329055309,0.9580737746260735,0.0,0.5,40
sampling_hidden,1731,calibrated,224,0.9732142857142857,0.713302752293578,0.986882639239137,0.5804325315040283,1.4968324378290792,0.7347140042443893,0.9437349518961315,0.004464285714285714,0.5,18
original_all,1731,calibrated,224,0.9732142857142857,0.6987767584097859,0.9873432671254151,0.37922458575505624,0.9640030626935927,0.5749442288652062,0.9580737746260735,0.0,0.5,40
