family,calibration,metric,NN_seeds,n,ddof,values,mean,sample_variance,SD
sampling_hidden,raw,auroc,1729;1730;1731,3,1,"[0.7224770642201835, 0.7155963302752294, 0.713302752293578]",0.7171253822629969,2.2795499817636238e-05,0.004774463301527852
sampling_hidden,raw,error_auprc,1729;1730;1731,3,1,"[0.9859082557929691, 0.9873306462222545, 0.986882639239137]",0.9867071804181202,5.28887981735109e-07,0.0007272468506189003
sampling_hidden,raw,brier,1729;1730;1731,3,1,"[0.41093193043867055, 0.6745258534466486, 0.6201643597984428]",0.568540714561254,0.01936918962236531,0.13917323601312614
sampling_hidden,raw,nll,1729;1730;1731,3,1,"[1.030835812694274, 1.8704788462383497, 1.6418066143886743]",1.514373757773766,0.18842945565355126,0.43408461807987536
sampling_hidden,raw,ece,1729;1730;1731,3,1,"[0.6051335878936307, 0.7927552851781782, 0.7590931401521499]",0.7189940044079862,0.01000643083855524,0.10003214902497716
sampling_hidden,raw,risk_coverage_auc,1729;1730;1731,3,1,"[0.9472324201497518, 0.9514957416086594, 0.9437349518961315]",0.9474877045515142,1.5106341834856744e-05,0.0038866877717224396
sampling_hidden,calibrated,auroc,1729;1730;1731,3,1,"[0.7224770642201835, 0.7155963302752294, 0.713302752293578]",0.7171253822629969,2.2795499817636238e-05,0.004774463301527852
sampling_hidden,calibrated,error_auprc,1729;1730;1731,3,1,"[0.9859082557929691, 0.9873306462222545, 0.986882639239137]",0.9867071804181202,5.28887981735109e-07,0.0007272468506189003
sampling_hidden,calibrated,brier,1729;1730;1731,3,1,"[0.38837216762126603, 0.6547419589597762, 0.5804325315040283]",0.5411822193616902,0.018893656686883586,0.13745419850584262
sampling_hidden,calibrated,nll,1729;1730;1731,3,1,"[0.979827935838885, 1.778332117266652, 1.4968324378290792]",1.4183308303115387,0.16402410872653553,0.4049988996608948
sampling_hidden,calibrated,ece,1729;1730;1731,3,1,"[0.5894600570734058, 0.7812017235306224, 0.7347140042443893]",0.7017919282828058,0.010004113978162836,0.1000205677756472
sampling_hidden,calibrated,risk_coverage_auc,1729;1730;1731,3,1,"[0.9472324201497518, 0.9514957416086594, 0.9437349518961315]",0.9474877045515142,1.5106341834856744e-05,0.0038866877717224396
all,raw,auroc,1729;1730;1731,3,1,"[0.7912844036697247, 0.8081039755351682, 0.6987767584097859]",0.7660550458715596,0.0034655004722759972,0.05886850152905199
all,raw,error_auprc,1729;1730;1731,3,1,"[0.9932212023386658, 0.9938034195437228, 0.9873432671254151]",0.9914559630026012,1.2770444752133964e-05,0.0035735759054669543
all,raw,brier,1729;1730;1731,3,1,"[0.7183898521690969, 0.7527003356390262, 0.41555427144043827]",0.6288814864161871,0.03442567780596709,0.1855415797226247
all,raw,nll,1729;1730;1731,3,1,"[2.1849139418922205, 2.4695539609392982, 1.0517420269293312]",1.90206997658695,0.5625482015874776,0.7500321337032685
all,raw,ece,1729;1730;1731,3,1,"[0.8213893732338744, 0.8392279975981052, 0.5981173329055309]",0.7529115679125035,0.01805049552334742,0.13435213255973058
all,raw,risk_coverage_auc,1729;1730;1731,3,1,"[0.9496859098497863, 0.9472285811296162, 0.9580737746260735]",0.9516627552018253,3.2335493653308594e-05,0.0056864306602040435
all,calibrated,auroc,1729;1730;1731,3,1,"[0.7912844036697247, 0.8081039755351682, 0.6987767584097859]",0.7660550458715596,0.0034655004722759972,0.05886850152905199
all,calibrated,error_auprc,1729;1730;1731,3,1,"[0.9932212023386658, 0.9938034195437228, 0.9873432671254151]",0.9914559630026012,1.2770444752133964e-05,0.0035735759054669543
all,calibrated,brier,1729;1730;1731,3,1,"[0.677841408693919, 0.7296509550147086, 0.37922458575505624]",0.5955723164878945,0.03577581271742805,0.18914495160439268
all,calibrated,nll,1729;1730;1731,3,1,"[1.937815070362525, 2.2765428324331616, 0.9640030626935927]",1.7261203218297598,0.46430116170426317,0.681396479081205
all,calibrated,ece,1729;1730;1731,3,1,"[0.7977704909364028, 0.8264057020049741, 0.5749442288652062]",0.7330401406021944,0.01895073180919757,0.1376616570044018
all,calibrated,risk_coverage_auc,1729;1730;1731,3,1,"[0.9496859098497863, 0.9472285811296162, 0.9580737746260735]",0.9516627552018253,3.2335493653308594e-05,0.0056864306602040435
